value,timestamp
455.0,2016-07-01 00:00:31
213.0,2016-07-01 00:10:02
429.0,2016-07-01 00:40:00
225.0,2016-07-01 00:20:00
321.0,2016-07-01 00:30:01
411.0,2016-07-01 00:50:00
479.0,2016-07-01 01:20:00
419.0,2016-07-01 01:00:00
484.0,2016-07-01 01:30:00
390.0,2016-07-01 01:10:00
439.0,2016-07-01 01:40:01
383.0,2016-07-01 01:50:00
415.0,2016-07-01 02:00:00
490.0,2016-07-01 02:10:01
509.0,2016-07-01 02:20:02
497.0,2016-07-01 02:30:01
479.0,2016-07-01 02:50:01
449.0,2016-07-01 03:10:01
487.0,2016-07-01 03:00:01
529.0,2016-07-01 02:40:01
395.0,2016-07-01 03:20:00
273.0,2016-07-01 03:30:01
242.0,2016-07-01 03:50:01
294.0,2016-07-01 03:40:01
219.0,2016-07-01 04:10:01
218.0,2016-07-01 04:00:01
201.0,2016-07-01 04:20:02
225.0,2016-07-01 04:30:02
182.0,2016-07-01 04:40:02
180.0,2016-07-01 04:50:00
316.0,2016-07-01 05:00:01
312.0,2016-07-01 05:10:00
230.0,2016-07-01 05:20:01
359.0,2016-07-01 05:30:01
470.0,2016-07-01 05:40:01
472.0,2016-07-01 05:50:00
547.0,2016-07-01 06:00:01
470.0,2016-07-01 06:10:01
411.0,2016-07-01 06:30:01
376.0,2016-07-01 06:20:01
434.0,2016-07-01 06:40:00
449.0,2016-07-01 06:50:01
396.0,2016-07-01 07:00:01
459.0,2016-07-01 07:30:01
452.0,2016-07-01 07:40:00
517.0,2016-07-01 07:10:00
359.0,2016-07-01 07:50:02
556.0,2016-07-01 07:20:00
250.0,2016-07-01 08:10:00
157.0,2016-07-01 08:20:01
330.0,2016-07-01 08:00:00
122.0,2016-07-01 08:30:00
108.0,2016-07-01 08:40:00
103.0,2016-07-01 09:00:01
98.0,2016-07-01 09:10:00
115.0,2016-07-01 08:50:00
130.0,2016-07-01 09:20:00
218.0,2016-07-01 09:30:00
229.0,2016-07-01 09:40:01
229.0,2016-07-01 09:50:01
224.0,2016-07-01 10:00:01
203.0,2016-07-01 10:10:02
246.0,2016-07-01 10:20:02
134.0,2016-07-01 10:30:02
81.0,2016-07-01 10:40:04
152.0,2016-07-01 10:50:01
180.0,2016-07-01 11:00:02
154.0,2016-07-01 11:10:01
235.0,2016-07-01 11:20:01
216.0,2016-07-01 11:40:02
285.0,2016-07-01 11:30:01
338.0,2016-07-01 11:50:01
473.0,2016-07-01 12:10:02
443.0,2016-07-01 12:00:21
400.0,2016-07-01 12:20:00
380.0,2016-07-01 12:30:00
360.0,2016-07-01 12:40:02
402.0,2016-07-01 12:50:01
317.0,2016-07-01 13:10:02
402.0,2016-07-01 13:20:01
311.0,2016-07-01 13:00:01
324.0,2016-07-01 13:30:00
235.0,2016-07-01 13:50:01
225.0,2016-07-01 14:00:02
290.0,2016-07-01 13:40:02
322.0,2016-07-01 14:10:00
291.0,2016-07-01 14:20:01
291.0,2016-07-01 14:40:00
303.0,2016-07-01 14:30:02
413.0,2016-07-01 14:50:01
302.0,2016-07-01 15:00:00
447.0,2016-07-01 15:10:00
402.0,2016-07-01 15:30:00
312.0,2016-07-01 15:40:01
378.0,2016-07-01 15:20:00
262.0,2016-07-01 15:50:00
330.0,2016-07-01 16:00:02
277.0,2016-07-01 16:10:02
299.0,2016-07-01 16:20:01
339.0,2016-07-01 16:30:02
288.0,2016-07-01 16:40:00
251.0,2016-07-01 17:10:01
361.0,2016-07-01 17:20:01
299.0,2016-07-01 16:50:02
260.0,2016-07-01 17:30:02
344.0,2016-07-01 17:00:00
104.0,2016-07-01 17:50:00
160.0,2016-07-01 18:30:00
94.0,2016-07-01 19:20:01
330.0,2016-07-01 20:10:01
683.0,2016-07-01 21:10:02
348.0,2016-07-01 21:50:00
206.0,2016-07-01 23:10:02
223.0,2016-07-01 23:40:01
218.0,2016-07-02 00:30:02
211.0,2016-07-02 01:20:02
254.0,2016-07-02 02:10:00
300.0,2016-07-02 02:50:02
368.0,2016-07-02 03:30:02
285.0,2016-07-02 04:20:02
227.0,2016-07-02 05:00:02
185.0,2016-07-02 05:50:00
190.0,2016-07-02 06:40:02
190.0,2016-07-02 07:20:02
192.0,2016-07-02 08:10:00
294.0,2016-07-02 09:00:01
274.0,2016-07-02 09:40:02
147.0,2016-07-02 11:00:01
115.0,2016-07-02 11:50:02
128.0,2016-07-02 12:40:01
187.0,2016-07-02 13:30:00
166.0,2016-07-02 14:10:01
390.0,2016-07-02 15:10:00
309.0,2016-07-02 16:00:02
419.0,2016-07-02 16:40:01
392.0,2016-07-02 17:30:01
389.0,2016-07-02 18:30:00
355.0,2016-07-02 19:20:00
368.0,2016-07-02 20:10:03
346.0,2016-07-02 21:00:00
157.0,2016-07-02 21:50:02
130.0,2016-07-02 22:40:02
255.0,2016-07-02 23:40:00
257.0,2016-07-03 00:40:01
191.0,2016-07-03 01:40:01
406.0,2016-07-03 02:00:02
196.0,2016-07-03 02:50:01
355.0,2016-07-03 04:00:01
237.0,2016-07-03 04:30:01
184.0,2016-07-03 05:30:00
239.0,2016-07-03 06:10:01
245.0,2016-07-03 07:00:00
204.0,2016-07-03 07:40:00
354.0,2016-07-03 08:40:01
504.0,2016-07-03 09:30:02
456.0,2016-07-03 10:20:01
407.0,2016-07-03 11:10:00
233.0,2016-07-03 12:00:38
250.0,2016-07-03 12:50:01
256.0,2016-07-03 13:40:02
238.0,2016-07-03 14:30:01
339.0,2016-07-03 15:20:01
317.0,2016-07-03 16:10:01
319.0,2016-07-03 16:50:00
255.0,2016-07-03 17:50:00
388.0,2016-07-03 18:40:00
418.0,2016-07-03 19:00:00
207.0,2016-07-03 19:40:00
283.0,2016-07-03 20:30:00
331.0,2016-07-03 21:20:00
178.0,2016-07-03 22:00:00
161.0,2016-07-03 22:50:00
109.0,2016-07-03 23:40:01
169.0,2016-07-04 00:30:02
267.0,2016-07-04 01:20:02
279.0,2016-07-04 02:10:00
311.0,2016-07-04 03:00:01
528.0,2016-07-04 03:40:01
489.0,2016-07-04 04:20:01
269.0,2016-07-04 05:20:02
199.0,2016-07-04 05:50:02
335.0,2016-07-04 07:00:00
231.0,2016-07-04 07:40:02
368.0,2016-07-04 08:20:00
423.0,2016-07-04 09:00:01
467.0,2016-07-04 10:10:02
338.0,2016-07-04 10:50:00
139.0,2016-07-04 12:03:23
167.0,2016-07-04 12:30:00
106.0,2016-07-04 13:10:00
528.0,2016-07-04 14:10:02
424.0,2016-07-04 15:00:01
312.0,2016-07-04 15:40:00
296.0,2016-07-04 16:40:01
637.0,2016-07-04 17:30:00
533.0,2016-07-04 18:20:01
472.0,2016-07-04 19:00:00
270.0,2016-07-04 19:40:00
290.0,2016-07-04 20:30:01
273.0,2016-07-04 21:00:00
246.0,2016-07-04 21:50:01
350.0,2016-07-04 22:40:00
434.0,2016-07-04 23:30:00
475.0,2016-07-05 00:30:00
590.0,2016-07-05 01:20:01
429.0,2016-07-05 02:10:01
500.0,2016-07-05 03:30:01
486.0,2016-07-05 04:20:01
517.0,2016-07-05 05:00:01
485.0,2016-07-05 05:50:02
467.0,2016-07-05 06:30:02
380.0,2016-07-05 07:20:01
392.0,2016-07-05 08:00:01
114.0,2016-07-01 18:00:02
145.0,2016-07-01 18:40:00
331.0,2016-07-01 19:50:00
441.0,2016-07-01 20:40:01
164.0,2016-07-01 21:30:00
213.0,2016-07-01 22:20:00
325.0,2016-07-01 22:50:01
191.0,2016-07-01 23:30:01
240.0,2016-07-02 00:20:02
205.0,2016-07-02 01:10:02
260.0,2016-07-02 02:00:01
292.0,2016-07-02 03:10:01
230.0,2016-07-02 03:40:00
303.0,2016-07-02 04:30:00
252.0,2016-07-02 05:20:00
185.0,2016-07-02 06:00:00
181.0,2016-07-02 06:50:02
226.0,2016-07-02 07:40:01
206.0,2016-07-02 08:30:02
388.0,2016-07-02 09:20:01
198.0,2016-07-02 10:10:01
146.0,2016-07-02 10:50:02
178.0,2016-07-02 11:30:01
128.0,2016-07-02 12:20:01
135.0,2016-07-02 13:00:02
172.0,2016-07-02 13:50:01
368.0,2016-07-02 14:40:02
350.0,2016-07-02 15:20:01
423.0,2016-07-02 16:20:02
357.0,2016-07-02 17:20:00
469.0,2016-07-02 18:10:02
513.0,2016-07-02 19:00:00
427.0,2016-07-02 20:00:02
401.0,2016-07-02 20:40:00
188.0,2016-07-02 21:30:02
187.0,2016-07-02 22:20:01
249.0,2016-07-02 23:20:00
276.0,2016-07-03 00:20:01
199.0,2016-07-03 01:10:02
275.0,2016-07-03 02:10:00
236.0,2016-07-03 03:10:01
335.0,2016-07-03 03:50:02
283.0,2016-07-03 04:50:01
135.0,2016-07-03 05:50:01
193.0,2016-07-03 06:50:01
233.0,2016-07-03 07:50:01
318.0,2016-07-03 08:30:01
373.0,2016-07-03 09:20:00
345.0,2016-07-03 10:10:01
386.0,2016-07-03 10:30:00
280.0,2016-07-03 11:50:00
231.0,2016-07-03 12:40:02
353.0,2016-07-03 13:20:01
221.0,2016-07-03 14:00:01
456.0,2016-07-03 14:50:02
252.0,2016-07-03 15:40:03
286.0,2016-07-03 16:20:00
397.0,2016-07-03 17:10:01
410.0,2016-07-03 18:20:00
414.0,2016-07-03 18:50:02
258.0,2016-07-03 20:00:02
332.0,2016-07-03 21:00:01
320.0,2016-07-03 21:50:01
186.0,2016-07-03 22:20:02
148.0,2016-07-03 23:20:01
246.0,2016-07-04 00:20:00
191.0,2016-07-04 01:10:02
282.0,2016-07-04 02:00:01
359.0,2016-07-04 02:50:00
472.0,2016-07-04 03:50:01
530.0,2016-07-04 04:30:00
327.0,2016-07-04 05:10:02
294.0,2016-07-04 06:20:02
311.0,2016-07-04 07:20:01
308.0,2016-07-04 08:10:00
496.0,2016-07-04 09:30:01
369.0,2016-07-04 10:20:00
158.0,2016-07-04 11:10:01
146.0,2016-07-04 11:50:01
156.0,2016-07-04 12:20:01
234.0,2016-07-04 13:30:02
519.0,2016-07-04 14:30:01
252.0,2016-07-04 15:30:00
312.0,2016-07-04 16:20:01
480.0,2016-07-04 17:00:01
449.0,2016-07-04 18:00:00
481.0,2016-07-04 18:50:02
423.0,2016-07-04 20:00:02
356.0,2016-07-04 21:10:01
319.0,2016-07-04 22:10:00
404.0,2016-07-04 23:00:00
448.0,2016-07-04 23:40:01
