value,timestamp
96.0,2016-08-03 21:50:32
95.0,2016-08-03 22:20:28
95.0,2016-08-03 22:50:23
94.0,2016-08-03 23:20:19
94.0,2016-08-03 23:50:15
94.0,2016-08-04 00:20:12
94.0,2016-08-04 00:50:08
94.0,2016-08-04 01:49:59
94.0,2016-08-04 02:19:55
94.0,2016-08-04 01:20:03
93.0,2016-08-04 02:49:51
93.0,2016-08-04 03:19:47
93.0,2016-08-04 03:49:43
93.0,2016-08-04 04:19:39
93.0,2016-08-04 04:49:35
93.0,2016-08-04 05:19:29
93.0,2016-08-04 05:49:24
93.0,2016-08-04 06:19:20
93.0,2016-08-04 07:49:08
92.0,2016-08-04 10:18:46
92.0,2016-08-04 11:18:38
92.0,2016-08-04 14:48:09
92.0,2016-08-04 15:48:01
91.0,2016-08-04 17:17:48
92.0,2016-08-04 09:18:55
92.0,2016-08-04 11:48:34
92.0,2016-08-04 12:48:26
92.0,2016-08-04 14:18:13
92.0,2016-08-05 08:25:10
93.0,2016-08-04 07:19:12
92.0,2016-08-04 16:17:56
91.0,2016-08-05 08:55:04
93.0,2016-08-04 06:49:16
93.0,2016-08-04 08:19:03
92.0,2016-08-04 09:48:51
92.0,2016-08-04 10:48:42
92.0,2016-08-04 13:18:21
91.0,2016-08-04 16:47:52
91.0,2016-08-04 17:47:44
92.0,2016-08-04 08:48:59
92.0,2016-08-04 12:18:30
92.0,2016-08-04 13:48:17
92.0,2016-08-04 15:18:05
92.0,2016-08-05 08:17:35
91.0,2016-08-05 09:24:59
91.0,2016-08-05 09:54:55
91.0,2016-08-05 10:05:07
91.0,2016-08-05 10:35:03
91.0,2016-08-05 11:04:58
91.0,2016-08-05 11:34:54
90.0,2016-08-05 12:04:50
90.0,2016-08-05 13:04:42
90.0,2016-08-05 13:34:37
89.0,2016-08-05 17:34:04
90.0,2016-08-05 14:04:33
89.0,2016-08-05 17:04:08
90.0,2016-08-05 15:04:25
89.0,2016-08-05 18:33:56
90.0,2016-08-05 14:34:29
90.0,2016-08-05 16:34:12
89.0,2016-08-05 19:03:51
90.0,2016-08-05 15:34:20
90.0,2016-08-05 16:04:16
89.0,2016-08-05 18:03:59
96.0,2016-08-17 08:00:04
95.0,2016-08-19 21:39:13
95.0,2016-08-19 22:09:12
95.0,2016-08-19 22:39:11
96.0,2016-08-19 19:39:19
95.0,2016-08-19 20:39:15
95.0,2016-08-19 21:09:15
96.0,2016-08-19 19:09:20
96.0,2016-08-19 20:09:17
94.0,2016-08-19 23:09:10
94.0,2016-08-19 23:39:09
94.0,2016-08-20 00:39:06
94.0,2016-08-20 00:09:07
94.0,2016-08-20 01:09:05
94.0,2016-08-20 01:39:03
94.0,2016-08-20 02:09:02
94.0,2016-08-20 02:39:01
93.0,2016-08-20 03:38:59
93.0,2016-08-20 04:38:56
93.0,2016-08-20 05:08:55
93.0,2016-08-20 06:08:53
94.0,2016-08-20 06:38:52
94.0,2016-08-20 07:08:51
93.0,2016-08-20 03:09:00
94.0,2016-08-20 07:38:51
93.0,2016-08-20 04:08:58
93.0,2016-08-20 05:38:54
95.0,2016-08-20 09:38:46
95.0,2016-08-20 08:38:48
95.0,2016-08-20 09:08:47
95.0,2016-08-20 10:08:45
94.0,2016-08-20 08:08:50
95.0,2016-08-20 10:38:45
96.0,2016-08-20 11:08:43
96.0,2016-08-20 11:38:42
96.0,2016-08-20 14:08:35
96.0,2016-08-20 14:38:35
96.0,2016-08-20 16:38:31
96.0,2016-08-20 12:08:41
96.0,2016-08-20 13:08:38
96.0,2016-08-20 13:38:37
96.0,2016-08-20 15:08:33
96.0,2016-08-20 12:38:39
96.0,2016-08-20 15:38:33
96.0,2016-08-20 16:08:32
96.0,2016-08-20 18:08:27
95.0,2016-08-20 18:38:25
95.0,2016-08-20 19:38:23
96.0,2016-08-20 17:08:29
96.0,2016-08-20 17:38:28
95.0,2016-08-20 20:08:22
95.0,2016-08-20 19:08:24
94.0,2016-08-20 21:08:20
94.0,2016-08-20 20:38:21
94.0,2016-08-20 21:38:20
94.0,2016-08-20 22:08:19
94.0,2016-08-20 22:38:17
94.0,2016-08-20 23:08:16
93.0,2016-08-21 01:38:11
93.0,2016-08-21 02:08:10
94.0,2016-08-20 23:38:15
93.0,2016-08-21 00:38:13
93.0,2016-08-21 01:08:12
93.0,2016-08-21 03:08:07
93.0,2016-08-21 00:08:13
93.0,2016-08-21 02:38:09
93.0,2016-08-21 03:38:07
92.0,2016-08-21 06:08:01
93.0,2016-08-21 06:37:59
92.0,2016-08-21 05:08:03
92.0,2016-08-21 04:08:05
94.0,2016-08-21 07:37:57
92.0,2016-08-21 04:38:04
92.0,2016-08-21 05:38:02
93.0,2016-08-21 07:07:58
94.0,2016-08-21 08:07:55
94.0,2016-08-21 08:37:54
95.0,2016-08-21 09:07:53
95.0,2016-08-21 09:37:52
96.0,2016-08-21 13:37:55
95.0,2016-08-21 10:37:50
95.0,2016-08-21 11:07:48
96.0,2016-08-21 14:07:54
96.0,2016-08-21 14:37:54
95.0,2016-08-21 10:07:51
95.0,2016-08-21 11:37:47
95.0,2016-08-21 12:07:46
95.0,2016-08-21 12:37:46
96.0,2016-08-21 13:07:56
95.0,2016-08-21 19:37:43
94.0,2016-08-21 20:37:41
96.0,2016-08-21 15:37:53
95.0,2016-08-21 16:37:50
95.0,2016-08-21 17:07:48
95.0,2016-08-21 18:37:45
95.0,2016-08-21 18:07:46
95.0,2016-08-21 19:07:44
96.0,2016-08-21 15:07:53
95.0,2016-08-21 17:37:47
94.0,2016-08-21 20:07:42
94.0,2016-08-21 21:07:40
94.0,2016-08-21 21:37:39
94.0,2016-08-21 22:37:37
93.0,2016-08-22 00:07:34
93.0,2016-08-22 01:07:31
93.0,2016-08-22 01:37:30
93.0,2016-08-22 00:37:32
94.0,2016-08-21 22:07:39
94.0,2016-08-21 23:37:35
94.0,2016-08-21 23:07:36
94.0,2016-08-22 08:07:17
94.0,2016-08-22 09:07:15
95.0,2016-08-22 09:37:14
93.0,2016-08-22 02:07:29
93.0,2016-08-22 02:37:28
93.0,2016-08-22 03:07:27
93.0,2016-08-22 03:37:25
92.0,2016-08-22 04:07:24
92.0,2016-08-22 04:37:22
92.0,2016-08-22 05:07:22
92.0,2016-08-22 05:37:22
92.0,2016-08-22 06:07:20
94.0,2016-08-22 07:37:18
93.0,2016-08-22 06:37:20
93.0,2016-08-22 07:07:19
94.0,2016-08-22 08:37:15
95.0,2016-08-22 10:07:13
95.0,2016-08-22 10:37:12
96.0,2016-08-22 14:07:06
96.0,2016-08-22 11:07:11
96.0,2016-08-22 14:37:05
96.0,2016-08-22 11:37:09
96.0,2016-08-22 12:37:08
96.0,2016-08-22 13:37:07
96.0,2016-08-22 13:07:08
96.0,2016-08-22 15:07:04
96.0,2016-08-22 12:07:09
96.0,2016-08-22 15:37:04
96.0,2016-08-22 17:07:00
96.0,2016-08-22 17:36:59
95.0,2016-08-22 18:06:58
95.0,2016-08-22 18:36:56
95.0,2016-08-22 19:06:55
95.0,2016-08-22 19:36:54
96.0,2016-08-22 16:07:02
94.0,2016-08-22 22:36:46
93.0,2016-08-23 00:06:43
96.0,2016-08-22 16:37:01
94.0,2016-08-22 20:06:53
94.0,2016-08-22 23:36:44
94.0,2016-08-22 20:36:52
94.0,2016-08-22 21:06:50
94.0,2016-08-22 21:36:49
94.0,2016-08-22 22:06:48
94.0,2016-08-22 23:06:45
93.0,2016-08-23 03:06:37
93.0,2016-08-23 04:06:35
93.0,2016-08-23 00:36:42
93.0,2016-08-23 02:36:38
93.0,2016-08-23 03:36:36
92.0,2016-08-23 04:36:33
93.0,2016-08-23 01:06:41
93.0,2016-08-23 01:36:41
92.0,2016-08-23 05:06:33
93.0,2016-08-23 02:06:39
