value,timestamp
29.3,2016-08-03 04:39:25
29.94,2016-08-03 04:47:41
28.61,2016-08-03 05:08:52
28.24,2016-08-03 05:14:08
28.57,2016-08-03 05:28:55
28.53,2016-08-03 05:35:46
24.93,2016-08-09 22:43:13
24.92,2016-08-17 07:45:01
30.09,2016-08-19 17:23:46
27.29,2016-08-19 18:53:42
26.87,2016-08-19 19:23:40
28.36,2016-08-19 17:53:44
26.21,2016-08-19 20:23:38
25.52,2016-08-19 20:53:36
26.51,2016-08-19 19:53:39
24.77,2016-08-19 21:23:35
27.66,2016-08-19 18:23:43
24.71,2016-08-19 21:53:34
25.18,2016-08-19 22:23:33
25.07,2016-08-19 23:23:31
24.99,2016-08-20 00:23:29
25.12,2016-08-19 22:53:32
24.77,2016-08-19 23:53:29
24.59,2016-08-20 00:53:27
24.75,2016-08-20 01:23:26
24.34,2016-08-20 01:53:25
24.57,2016-08-20 02:23:24
24.55,2016-08-20 05:23:18
24.71,2016-08-20 06:23:16
24.95,2016-08-20 07:23:13
24.52,2016-08-20 02:53:23
24.48,2016-08-20 03:23:22
24.44,2016-08-20 03:53:21
24.71,2016-08-20 04:23:20
24.5,2016-08-20 04:53:20
24.87,2016-08-20 05:53:17
24.63,2016-08-20 06:53:14
27.01,2016-08-20 08:23:11
28.72,2016-08-20 09:53:09
25.3,2016-08-20 07:53:12
27.01,2016-08-20 08:53:10
29.08,2016-08-20 10:23:08
27.85,2016-08-20 09:23:09
29.24,2016-08-20 10:53:06
27.33,2016-08-20 11:23:05
27.76,2016-08-20 11:53:04
30.06,2016-08-20 12:53:02
32.64,2016-08-20 15:52:58
31.74,2016-08-20 16:22:57
31.06,2016-08-20 13:23:01
32.64,2016-08-20 14:52:59
32.53,2016-08-20 15:22:59
29.24,2016-08-20 12:23:03
32.28,2016-08-20 14:23:00
32.0,2016-08-20 13:53:00
29.65,2016-08-20 17:22:56
26.62,2016-08-20 17:52:54
31.17,2016-08-20 16:52:56
25.14,2016-08-20 20:22:48
26.82,2016-08-20 18:22:53
26.1,2016-08-20 19:22:50
26.18,2016-08-20 18:52:51
25.17,2016-08-20 19:52:49
25.17,2016-08-20 20:52:47
24.91,2016-08-20 21:22:46
24.61,2016-08-20 21:52:45
24.09,2016-08-20 23:52:40
23.97,2016-08-21 01:22:36
24.39,2016-08-20 22:52:42
24.39,2016-08-20 23:22:40
23.65,2016-08-21 00:22:38
24.23,2016-08-21 00:52:38
24.08,2016-08-21 01:52:35
24.0,2016-08-21 02:22:35
24.57,2016-08-20 22:22:43
23.97,2016-08-21 02:52:34
23.56,2016-08-21 03:22:33
23.35,2016-08-21 03:52:31
22.77,2016-08-21 05:52:26
22.97,2016-08-21 06:22:26
24.53,2016-08-21 07:22:23
24.71,2016-08-21 07:52:22
22.91,2016-08-21 04:22:30
25.91,2016-08-21 08:22:21
22.67,2016-08-21 04:52:29
22.71,2016-08-21 05:22:28
23.66,2016-08-21 06:52:24
25.4,2016-08-21 08:52:19
25.79,2016-08-21 09:22:18
27.05,2016-08-21 09:52:17
27.95,2016-08-21 10:22:16
27.61,2016-08-21 10:52:16
27.97,2016-08-21 13:52:23
26.24,2016-08-21 13:22:24
27.41,2016-08-21 14:22:22
28.66,2016-08-21 11:22:16
28.13,2016-08-21 11:52:15
27.77,2016-08-21 12:22:14
26.08,2016-08-21 12:52:13
26.79,2016-08-21 14:52:21
24.48,2016-08-21 19:22:15
24.25,2016-08-21 20:22:13
24.19,2016-08-21 18:22:17
25.29,2016-08-21 15:52:20
23.76,2016-08-21 16:22:19
23.57,2016-08-21 16:52:19
23.96,2016-08-21 18:52:16
24.15,2016-08-21 17:52:18
25.83,2016-08-21 15:22:20
23.88,2016-08-21 17:22:19
24.41,2016-08-21 19:52:14
24.14,2016-08-21 20:52:12
24.37,2016-08-21 21:22:11
24.41,2016-08-21 22:22:08
24.36,2016-08-21 22:52:07
24.2,2016-08-21 23:52:05
24.29,2016-08-22 01:22:01
24.32,2016-08-21 21:52:09
24.34,2016-08-22 00:22:03
24.13,2016-08-22 01:52:00
22.91,2016-08-22 02:21:59
24.15,2016-08-21 23:22:06
24.32,2016-08-22 00:52:02
23.07,2016-08-22 05:21:52
26.65,2016-08-22 09:21:44
21.71,2016-08-22 03:21:57
22.18,2016-08-22 03:51:55
22.41,2016-08-22 02:51:58
22.1,2016-08-22 04:21:54
22.95,2016-08-22 04:51:52
23.4,2016-08-22 06:21:50
23.05,2016-08-22 05:51:51
23.17,2016-08-22 07:21:48
24.27,2016-08-22 07:51:48
23.47,2016-08-22 06:51:49
24.31,2016-08-22 08:21:47
24.71,2016-08-22 08:51:45
27.32,2016-08-22 09:51:43
28.24,2016-08-22 10:21:42
28.61,2016-08-22 10:51:42
30.03,2016-08-22 13:51:35
29.76,2016-08-22 14:21:34
27.39,2016-08-22 17:21:32
26.56,2016-08-22 17:51:31
27.53,2016-08-22 11:21:41
29.08,2016-08-22 11:51:39
29.3,2016-08-22 13:21:37
29.31,2016-08-22 12:51:38
28.78,2016-08-22 12:21:39
29.62,2016-08-22 14:51:34
27.64,2016-08-22 16:51:32
26.64,2016-08-22 18:21:30
29.81,2016-08-22 15:21:33
29.9,2016-08-22 15:51:32
28.28,2016-08-22 16:21:32
27.64,2016-08-22 16:51:32
26.13,2016-08-22 18:51:28
25.86,2016-08-22 19:21:28
26.16,2016-08-22 19:51:27
25.53,2016-08-22 21:51:22
25.3,2016-08-22 22:21:21
25.32,2016-08-22 22:51:20
25.03,2016-08-22 23:21:18
26.0,2016-08-22 20:21:25
25.75,2016-08-22 20:51:24
25.74,2016-08-22 21:21:23
24.42,2016-08-22 23:51:17
24.51,2016-08-23 00:21:16
24.22,2016-08-23 01:21:14
24.27,2016-08-23 02:21:11
24.71,2016-08-23 03:51:07
24.47,2016-08-23 03:21:09
24.82,2016-08-23 04:21:07
24.29,2016-08-23 01:51:12
24.47,2016-08-23 04:51:06
24.27,2016-08-23 00:51:15
24.53,2016-08-23 02:51:10
24.28,2016-08-23 05:21:05
24.96,2016-08-23 08:20:59
23.97,2016-08-23 05:51:04
24.14,2016-08-23 06:51:02
27.41,2016-08-23 09:20:58
26.43,2016-08-23 08:50:59
24.06,2016-08-23 06:21:02
24.72,2016-08-23 07:51:00
28.53,2016-08-23 09:50:57
24.15,2016-08-23 07:21:01
28.95,2016-08-23 10:50:54
32.22,2016-08-23 12:20:51
27.13,2016-08-23 14:20:49
26.55,2016-08-23 14:50:48
32.82,2016-08-23 13:20:49
28.49,2016-08-23 10:20:56
31.35,2016-08-23 11:50:52
28.43,2016-08-23 13:50:49
26.01,2016-08-23 15:50:46
29.46,2016-08-23 11:20:53
32.09,2016-08-23 12:50:50
26.2,2016-08-23 15:20:47
25.66,2016-08-23 16:20:45
25.26,2016-08-23 16:50:45
24.94,2016-08-23 17:20:44
24.88,2016-08-23 17:50:43
24.89,2016-08-23 20:20:37
24.66,2016-08-23 21:20:35
24.51,2016-08-23 23:20:30
24.74,2016-08-23 23:50:28
24.65,2016-08-23 19:50:38
24.44,2016-08-23 22:50:32
24.36,2016-08-23 18:20:42
24.39,2016-08-23 19:20:39
24.65,2016-08-23 20:50:36
