value,timestamp
32.494,2016-08-03 22:09:40
4.203,2016-08-03 22:39:34
1.669,2016-08-03 23:09:29
1.276,2016-08-03 23:39:24
1.111,2016-08-04 00:09:21
1.266,2016-08-04 00:39:17
1.063,2016-08-04 02:09:04
1.193,2016-08-04 01:39:09
1.329,2016-08-04 01:09:13
1.012,2016-08-04 02:39:00
0.996,2016-08-04 03:08:57
1.025,2016-08-04 03:38:52
1.099,2016-08-04 04:08:48
1.12,2016-08-04 04:38:44
1.122,2016-08-04 05:08:40
1.115,2016-08-04 05:38:36
1.13,2016-08-04 06:08:30
1.102,2016-08-04 07:38:17
1.103,2016-08-04 08:38:09
1.075,2016-08-04 10:07:56
0.8209999999999998,2016-08-04 14:37:18
0.8329999999999999,2016-08-04 15:37:10
0.803,2016-08-04 17:06:57
1.092,2016-08-04 09:08:04
0.8759999999999999,2016-08-04 12:37:35
0.85,2016-08-04 14:07:22
0.8249999999999998,2016-08-04 15:07:14
0.8169999999999998,2016-08-04 16:37:02
1.11,2016-08-04 06:38:25
1.111,2016-08-04 07:08:21
1.104,2016-08-04 08:08:13
1.078,2016-08-04 10:37:52
1.039,2016-08-04 11:07:47
0.917,2016-08-04 11:37:43
0.8219999999999998,2016-08-04 16:07:06
1.095,2016-08-04 09:38:00
0.878,2016-08-04 13:07:31
0.894,2016-08-04 12:07:39
0.868,2016-08-04 13:37:27
0.802,2016-08-04 17:36:53
4.408,2016-08-06 20:10:57
0.743,2016-08-06 21:45:28
,2016-08-07 00:41:46
0.8139999999999998,2016-08-06 22:32:42
,2016-08-07 01:11:45
1.08,2016-08-06 20:53:46
0.8759999999999999,2016-08-06 21:23:41
0.713,2016-08-06 22:02:46
,2016-08-07 00:00:38
,2016-08-07 00:11:47
0.76,2016-08-06 21:34:53
,2016-08-07 01:35:57
1.494,2016-08-06 20:23:50
0.723,2016-08-06 21:53:29
31.76,2016-08-07 01:58:22
,2016-08-09 06:10:37
31.729,2016-08-17 07:52:21
31.729,2016-08-18 05:34:50
5.137,2016-08-18 06:04:48
1.739,2016-08-18 06:34:46
0.539,2016-08-18 12:34:32
0.891,2016-08-18 13:04:31
0.451,2016-08-18 14:04:28
0.709,2016-08-18 09:34:39
0.919,2016-08-18 10:34:37
1.32,2016-08-18 11:04:35
0.606,2016-08-18 11:34:35
1.956,2016-08-18 07:04:45
0.429,2016-08-18 13:34:29
0.44299999999999995,2016-08-18 14:34:27
0.755,2016-08-18 15:04:27
0.973,2016-08-18 07:34:44
1.05,2016-08-18 08:04:43
3.887,2016-08-18 08:34:42
0.936,2016-08-18 09:04:41
1.081,2016-08-18 10:04:39
0.653,2016-08-18 12:04:34
0.644,2016-08-18 15:34:25
0.925,2016-08-18 16:04:24
1.027,2016-08-18 16:34:23
1.406,2016-08-18 17:04:23
0.623,2016-08-18 17:34:21
3.072,2016-08-18 18:04:20
0.7509999999999999,2016-08-18 18:34:19
0.584,2016-08-18 21:04:14
1.9580000000000002,2016-08-18 22:34:11
1.9680000000000002,2016-08-19 00:04:07
0.49700000000000005,2016-08-18 21:34:13
0.906,2016-08-18 23:04:10
1.065,2016-08-18 23:34:09
0.651,2016-08-18 19:34:16
2.8789999999999996,2016-08-18 20:34:15
0.569,2016-08-18 19:04:17
0.78,2016-08-18 20:04:15
0.529,2016-08-18 22:04:12
0.747,2016-08-19 00:34:06
0.681,2016-08-19 01:04:06
0.593,2016-08-19 01:34:05
1.835,2016-08-19 02:03:27
0.759,2016-08-19 03:03:25
0.454,2016-08-19 07:33:23
1.72,2016-08-19 04:33:23
0.696,2016-08-19 15:05:57
0.566,2016-08-19 03:33:24
3.211,2016-08-19 04:03:23
0.62,2016-08-19 05:33:20
0.617,2016-08-19 06:03:26
0.8269999999999998,2016-08-19 05:03:22
0.501,2016-08-19 06:33:25
0.486,2016-08-19 16:05:55
0.439,2016-08-19 07:03:24
0.591,2016-08-19 08:03:22
2.407,2016-08-19 08:33:20
7.699,2016-08-19 15:35:56
0.517,2016-08-19 16:35:55
0.502,2016-08-19 17:05:53
0.49700000000000005,2016-08-19 17:35:52
1.797,2016-08-19 19:35:48
2.173,2016-08-19 20:35:45
0.507,2016-08-19 21:05:44
0.366,2016-08-19 18:05:51
0.996,2016-08-19 18:35:50
0.454,2016-08-19 21:35:42
0.59,2016-08-19 19:05:49
0.664,2016-08-19 20:05:46
0.276,2016-08-19 22:05:41
0.317,2016-08-19 22:35:40
0.33,2016-08-20 00:35:36
0.285,2016-08-20 01:05:35
0.466,2016-08-19 23:35:37
0.3,2016-08-19 23:05:39
0.292,2016-08-20 00:05:37
0.363,2016-08-20 01:35:34
0.339,2016-08-20 02:05:33
0.312,2016-08-20 02:35:33
0.318,2016-08-20 04:35:28
0.306,2016-08-20 05:35:25
0.323,2016-08-20 07:35:21
0.294,2016-08-20 03:05:31
0.28,2016-08-20 03:35:30
0.318,2016-08-20 04:05:29
0.281,2016-08-20 05:05:27
0.312,2016-08-20 06:05:24
0.348,2016-08-20 06:35:23
0.955,2016-08-20 07:05:22
0.351,2016-08-20 08:05:20
0.674,2016-08-20 08:35:19
0.393,2016-08-20 09:35:17
0.505,2016-08-20 10:05:16
0.495,2016-08-20 09:05:18
0.399,2016-08-20 10:35:15
0.49700000000000005,2016-08-20 11:05:14
0.43200000000000005,2016-08-20 11:35:14
0.348,2016-08-20 12:05:13
0.355,2016-08-20 12:35:12
0.43799999999999994,2016-08-20 13:05:11
0.513,2016-08-20 16:05:05
1.632,2016-08-20 16:35:04
2.924,2016-08-20 13:35:09
0.533,2016-08-20 17:35:02
0.701,2016-08-20 14:35:07
2.154,2016-08-20 15:05:06
0.506,2016-08-20 15:35:05
2.385,2016-08-20 14:05:08
0.731,2016-08-20 21:04:54
3.099,2016-08-20 17:05:04
2.589,2016-08-20 19:04:59
0.482,2016-08-20 20:34:56
0.314,2016-08-20 18:05:02
0.351,2016-08-20 18:35:00
0.979,2016-08-20 19:34:58
0.46,2016-08-20 20:04:56
0.719,2016-08-20 21:34:53
0.589,2016-08-20 22:04:53
0.446,2016-08-20 23:34:49
0.61,2016-08-21 00:04:48
0.662,2016-08-21 01:04:46
0.541,2016-08-21 01:34:46
0.606,2016-08-21 03:04:42
0.6,2016-08-21 02:04:44
0.296,2016-08-21 02:34:43
0.336,2016-08-20 23:04:50
0.371,2016-08-21 00:34:48
0.299,2016-08-20 22:34:52
0.351,2016-08-21 05:34:37
0.805,2016-08-21 06:04:35
2.575,2016-08-21 03:34:40
0.408,2016-08-21 04:04:40
0.301,2016-08-21 04:34:39
1.558,2016-08-21 05:04:38
0.277,2016-08-21 07:34:34
0.312,2016-08-21 08:04:33
0.292,2016-08-21 07:04:35
0.567,2016-08-21 06:34:35
0.303,2016-08-21 08:34:32
0.314,2016-08-21 09:04:31
1.093,2016-08-21 09:34:30
0.726,2016-08-21 10:04:30
0.359,2016-08-21 14:04:34
0.294,2016-08-21 13:04:36
0.317,2016-08-21 14:34:33
0.414,2016-08-21 11:04:28
0.423,2016-08-21 12:04:26
0.486,2016-08-21 12:34:25
1.298,2016-08-21 10:34:29
1.15,2016-08-21 11:34:27
0.338,2016-08-21 13:34:35
0.305,2016-08-21 15:04:33
0.334,2016-08-21 20:04:24
0.42,2016-08-21 16:34:31
0.389,2016-08-21 17:04:31
0.444,2016-08-21 17:34:29
0.264,2016-08-21 19:04:25
0.268,2016-08-21 18:34:26
0.268,2016-08-21 19:34:24
0.514,2016-08-21 15:34:32
0.407,2016-08-21 16:04:32
2.117,2016-08-21 18:04:27
0.266,2016-08-21 20:34:22
0.265,2016-08-21 21:04:21
0.288,2016-08-21 21:34:19
0.317,2016-08-21 22:34:17
0.319,2016-08-21 22:04:18
0.304,2016-08-22 00:04:14
0.464,2016-08-22 01:34:10
0.455,2016-08-22 02:34:08
0.267,2016-08-21 23:04:17
0.574,2016-08-22 01:04:11
0.278,2016-08-21 23:34:15
0.9840000000000002,2016-08-22 00:34:13
0.284,2016-08-22 05:34:03
0.251,2016-08-22 06:04:02
0.264,2016-08-22 07:33:58
1.119,2016-08-22 02:04:09
1.366,2016-08-22 03:04:07
0.265,2016-08-22 04:04:05
0.227,2016-08-22 04:34:04
2.218,2016-08-22 03:34:06
0.255,2016-08-22 06:34:01
0.265,2016-08-22 07:03:59
0.268,2016-08-22 05:04:03
0.28,2016-08-22 08:03:57
0.266,2016-08-22 08:33:56
0.285,2016-08-22 09:03:55
0.303,2016-08-22 09:33:54
0.321,2016-08-22 10:03:53
0.391,2016-08-22 10:33:52
0.369,2016-08-22 12:33:49
0.565,2016-08-22 14:33:47
0.328,2016-08-22 17:33:41
0.301,2016-08-22 18:03:40
0.367,2016-08-22 11:03:52
0.339,2016-08-22 11:33:50
0.351,2016-08-22 13:03:48
0.367,2016-08-22 13:33:48
0.384,2016-08-22 12:03:50
0.626,2016-08-22 14:03:48
0.545,2016-08-22 15:03:45
0.309,2016-08-22 18:33:39
0.495,2016-08-22 15:33:44
1.594,2016-08-22 16:03:43
0.427,2016-08-22 16:33:42
0.388,2016-08-22 17:03:42
0.328,2016-08-22 19:03:37
0.311,2016-08-22 19:33:36
1.22,2016-08-22 20:03:35
2.428,2016-08-22 21:33:31
1.3769999999999998,2016-08-22 22:03:30
1.078,2016-08-22 22:33:29
1.035,2016-08-22 23:03:28
4.505,2016-08-22 23:33:27
0.466,2016-08-22 20:33:34
0.755,2016-08-22 21:03:32
0.76,2016-08-23 00:03:25
0.8459999999999998,2016-08-23 02:33:19
