value,timestamp
22.19,2016-08-03 22:09:40
21.14,2016-08-03 22:39:34
20.34,2016-08-03 23:09:29
20.6,2016-08-03 23:39:24
20.02,2016-08-04 00:09:21
24.08,2016-08-04 01:09:13
22.92,2016-08-04 00:39:17
22.52,2016-08-04 01:39:09
22.5,2016-08-04 02:09:04
22.32,2016-08-04 02:39:00
22.01,2016-08-04 03:08:57
23.16,2016-08-04 03:38:52
24.13,2016-08-04 04:08:48
24.51,2016-08-04 04:38:44
24.71,2016-08-04 05:08:40
24.83,2016-08-04 05:38:36
24.91,2016-08-04 06:08:30
25.18,2016-08-04 08:08:13
25.2,2016-08-04 09:38:00
24.34,2016-08-04 11:07:47
22.77,2016-08-04 15:07:14
22.77,2016-08-04 16:37:02
25.02,2016-08-04 07:08:21
25.18,2016-08-04 08:38:09
23.1,2016-08-04 12:07:39
22.63,2016-08-04 13:37:27
22.88,2016-08-04 16:07:06
22.58,2016-08-04 17:36:53
25.22,2016-08-04 10:07:56
22.61,2016-08-04 14:37:18
22.88,2016-08-04 15:37:10
25.18,2016-08-04 09:08:04
22.6,2016-08-04 12:37:35
22.54,2016-08-04 14:07:22
24.97,2016-08-04 06:38:25
25.08,2016-08-04 07:38:17
25.3,2016-08-04 10:37:52
22.74,2016-08-04 11:37:43
22.96,2016-08-04 13:07:31
22.66,2016-08-04 17:06:57
20.89,2016-08-06 21:23:41
,2016-08-07 00:00:38
,2016-08-07 01:35:57
22.89,2016-08-06 20:10:57
,2016-08-09 06:10:37
21.82,2016-08-06 21:53:29
,2016-08-07 00:41:46
,2016-08-07 01:11:45
25.28,2016-08-07 01:58:22
22.22,2016-08-06 20:23:50
21.47,2016-08-06 20:53:46
21.77,2016-08-06 21:45:28
22.26,2016-08-06 22:32:42
21.64,2016-08-06 21:34:53
21.91,2016-08-06 22:02:46
,2016-08-07 00:11:47
24.8,2016-08-17 07:52:21
25.68,2016-08-18 05:34:50
25.77,2016-08-18 06:04:48
25.58,2016-08-18 06:34:46
24.68,2016-08-18 07:34:44
24.8,2016-08-18 08:04:43
24.59,2016-08-18 09:04:41
24.41,2016-08-18 09:34:39
23.97,2016-08-18 11:04:35
23.71,2016-08-18 12:04:34
25.42,2016-08-18 07:04:45
23.47,2016-08-18 13:34:29
23.6,2016-08-18 14:04:28
23.76,2016-08-18 12:34:32
23.74,2016-08-18 13:04:31
22.89,2016-08-18 16:04:24
24.79,2016-08-18 08:34:42
24.29,2016-08-18 10:04:39
24.42,2016-08-18 10:34:37
23.95,2016-08-18 11:34:35
22.52,2016-08-18 15:04:27
22.41,2016-08-18 14:34:27
22.6,2016-08-18 15:34:25
23.03,2016-08-18 16:34:23
23.16,2016-08-18 17:04:23
22.79,2016-08-18 20:04:15
22.94,2016-08-18 20:34:15
26.24,2016-08-18 22:04:12
23.46,2016-08-18 18:34:19
22.97,2016-08-18 17:34:21
26.19,2016-08-18 22:34:11
23.41,2016-08-18 18:04:20
24.03,2016-08-18 19:04:17
25.1,2016-08-18 21:34:13
26.95,2016-08-18 23:34:09
28.15,2016-08-19 00:04:07
29.51,2016-08-19 00:34:06
23.8,2016-08-18 19:34:16
23.91,2016-08-18 21:04:14
26.27,2016-08-18 23:04:10
28.89,2016-08-19 01:04:06
28.8,2016-08-19 01:34:05
28.08,2016-08-19 02:03:27
27.46,2016-08-19 04:33:23
26.86,2016-08-19 05:33:20
26.69,2016-08-19 06:03:26
25.79,2016-08-19 07:03:24
24.94,2016-08-19 08:33:20
27.87,2016-08-19 03:03:25
26.35,2016-08-19 06:33:25
26.98,2016-08-19 05:03:22
27.71,2016-08-19 03:33:24
27.92,2016-08-19 04:03:23
25.81,2016-08-19 07:33:23
25.31,2016-08-19 08:03:22
30.15,2016-08-19 15:35:56
30.07,2016-08-19 16:35:55
30.57,2016-08-19 15:05:57
29.28,2016-08-19 16:05:55
29.31,2016-08-19 17:05:53
27.61,2016-08-19 17:35:52
26.0,2016-08-19 19:05:49
23.88,2016-08-19 21:35:42
23.68,2016-08-19 22:05:41
23.64,2016-08-19 22:35:40
26.51,2016-08-19 18:05:51
25.83,2016-08-19 19:35:48
25.29,2016-08-19 20:05:46
24.79,2016-08-19 21:05:44
26.23,2016-08-19 18:35:50
24.76,2016-08-19 20:35:45
23.2,2016-08-20 00:05:37
23.6,2016-08-19 23:35:37
23.2,2016-08-20 00:35:36
23.1,2016-08-20 01:05:35
23.46,2016-08-19 23:05:39
23.35,2016-08-20 01:35:34
23.19,2016-08-20 02:05:33
23.16,2016-08-20 02:35:33
23.3,2016-08-20 04:05:29
23.13,2016-08-20 05:35:25
22.89,2016-08-20 03:35:30
23.06,2016-08-20 05:05:27
23.66,2016-08-20 06:35:23
23.14,2016-08-20 04:35:28
23.83,2016-08-20 07:05:22
23.02,2016-08-20 03:05:31
23.3,2016-08-20 06:05:24
24.34,2016-08-20 07:35:21
27.26,2016-08-20 09:35:17
27.35,2016-08-20 10:35:15
24.75,2016-08-20 08:05:20
27.14,2016-08-20 09:05:18
26.35,2016-08-20 08:35:19
27.4,2016-08-20 10:05:16
27.97,2016-08-20 11:05:14
24.78,2016-08-20 11:35:14
29.5,2016-08-20 13:35:09
30.4,2016-08-20 14:35:07
30.24,2016-08-20 15:05:06
25.26,2016-08-20 12:05:13
26.55,2016-08-20 12:35:12
30.16,2016-08-20 14:05:08
28.99,2016-08-20 13:05:11
29.77,2016-08-20 15:35:05
29.57,2016-08-20 16:05:05
