value,timestamp
98.0,2016-08-07 00:51:40
98.0,2016-08-16 01:15:58
98.0,2016-08-17 08:12:12
98.0,2016-08-19 07:08:34
98.0,2016-08-19 07:38:33
96.0,2016-08-19 08:38:31
96.0,2016-08-19 08:08:32
98.0,2016-08-19 15:41:08
98.0,2016-08-19 16:41:06
98.0,2016-08-19 15:11:08
98.0,2016-08-19 16:11:07
98.0,2016-08-19 17:11:05
98.0,2016-08-19 17:41:04
96.0,2016-08-19 20:10:58
96.0,2016-08-19 20:40:56
95.0,2016-08-19 22:40:52
96.0,2016-08-19 19:40:59
96.0,2016-08-19 21:40:54
96.0,2016-08-19 22:10:53
96.0,2016-08-19 18:11:02
96.0,2016-08-19 18:41:01
96.0,2016-08-19 19:11:00
96.0,2016-08-19 21:10:55
95.0,2016-08-20 00:10:48
95.0,2016-08-19 23:10:50
95.0,2016-08-19 23:40:49
95.0,2016-08-20 01:10:46
95.0,2016-08-20 01:40:44
95.0,2016-08-20 00:40:47
95.0,2016-08-20 02:10:44
94.0,2016-08-20 02:40:43
94.0,2016-08-20 03:10:41
94.0,2016-08-20 05:40:35
94.0,2016-08-20 04:10:38
94.0,2016-08-20 04:40:38
94.0,2016-08-20 05:10:36
94.0,2016-08-20 03:40:40
94.0,2016-08-20 06:10:34
95.0,2016-08-20 07:10:32
96.0,2016-08-20 10:10:26
94.0,2016-08-20 06:40:33
96.0,2016-08-20 08:10:30
96.0,2016-08-20 08:40:29
96.0,2016-08-20 07:40:30
96.0,2016-08-20 09:40:27
96.0,2016-08-20 10:40:25
96.0,2016-08-20 09:10:28
96.0,2016-08-20 11:10:24
96.0,2016-08-20 11:40:23
98.0,2016-08-20 14:40:20
98.0,2016-08-20 15:10:20
96.0,2016-08-20 12:10:23
96.0,2016-08-20 12:40:22
98.0,2016-08-20 14:10:20
98.0,2016-08-20 16:10:19
96.0,2016-08-20 13:10:22
98.0,2016-08-20 13:40:21
98.0,2016-08-20 15:40:19
98.0,2016-08-20 16:40:17
98.0,2016-08-20 17:40:15
96.0,2016-08-20 20:10:09
96.0,2016-08-20 19:10:11
96.0,2016-08-20 19:40:10
96.0,2016-08-20 18:40:13
98.0,2016-08-20 17:10:16
96.0,2016-08-20 18:10:14
96.0,2016-08-20 20:40:08
96.0,2016-08-20 21:10:07
96.0,2016-08-20 21:40:06
96.0,2016-08-20 22:10:06
95.0,2016-08-20 23:40:04
95.0,2016-08-21 01:40:00
95.0,2016-08-20 23:10:05
94.0,2016-08-21 02:39:57
94.0,2016-08-21 02:09:59
95.0,2016-08-20 22:40:06
95.0,2016-08-21 00:10:04
95.0,2016-08-21 00:40:03
95.0,2016-08-21 01:10:01
94.0,2016-08-21 04:39:55
94.0,2016-08-21 05:09:54
94.0,2016-08-21 05:39:54
94.0,2016-08-21 03:09:57
95.0,2016-08-21 07:09:51
94.0,2016-08-21 06:39:52
95.0,2016-08-21 07:39:50
94.0,2016-08-21 03:39:56
94.0,2016-08-21 06:09:53
96.0,2016-08-21 08:09:49
94.0,2016-08-21 04:09:55
96.0,2016-08-21 08:39:48
96.0,2016-08-21 09:09:47
96.0,2016-08-21 09:39:46
96.0,2016-08-21 10:09:46
96.0,2016-08-21 13:09:53
96.0,2016-08-21 14:09:52
96.0,2016-08-21 11:09:45
96.0,2016-08-21 12:09:43
96.0,2016-08-21 12:39:42
96.0,2016-08-21 14:39:51
96.0,2016-08-21 11:39:43
96.0,2016-08-21 13:39:52
96.0,2016-08-21 10:39:45
96.0,2016-08-21 15:39:49
96.0,2016-08-21 16:09:48
96.0,2016-08-21 15:09:51
96.0,2016-08-21 17:39:45
96.0,2016-08-21 16:39:47
96.0,2016-08-21 17:09:46
96.0,2016-08-21 18:09:44
96.0,2016-08-21 18:39:43
96.0,2016-08-21 19:09:42
96.0,2016-08-21 19:39:40
96.0,2016-08-21 20:09:39
96.0,2016-08-21 20:39:38
96.0,2016-08-21 21:09:37
95.0,2016-08-22 00:39:29
95.0,2016-08-21 23:39:31
95.0,2016-08-22 01:39:27
95.0,2016-08-21 23:09:32
95.0,2016-08-22 01:09:28
96.0,2016-08-21 21:39:35
96.0,2016-08-21 22:09:35
95.0,2016-08-21 22:39:33
95.0,2016-08-22 00:09:29
94.0,2016-08-22 02:09:26
94.0,2016-08-22 03:09:23
94.0,2016-08-22 04:09:22
94.0,2016-08-22 04:39:21
94.0,2016-08-22 02:39:25
94.0,2016-08-22 03:39:22
94.0,2016-08-22 05:39:19
94.0,2016-08-22 06:09:17
94.0,2016-08-22 06:39:16
95.0,2016-08-22 07:09:15
95.0,2016-08-22 07:39:14
94.0,2016-08-22 05:09:20
96.0,2016-08-22 09:09:11
96.0,2016-08-22 08:09:13
96.0,2016-08-22 09:39:09
96.0,2016-08-22 08:39:11
96.0,2016-08-22 10:09:08
98.0,2016-08-22 15:09:01
96.0,2016-08-22 11:39:05
96.0,2016-08-22 10:39:07
96.0,2016-08-22 12:09:04
96.0,2016-08-22 12:39:05
98.0,2016-08-22 14:09:02
98.0,2016-08-22 14:39:01
96.0,2016-08-22 11:09:07
98.0,2016-08-22 13:09:04
96.0,2016-08-22 13:39:02
98.0,2016-08-22 17:08:57
96.0,2016-08-22 18:08:55
96.0,2016-08-22 18:38:53
96.0,2016-08-22 19:38:50
96.0,2016-08-22 20:08:49
98.0,2016-08-22 16:09:00
96.0,2016-08-22 17:38:56
98.0,2016-08-22 15:39:00
98.0,2016-08-22 16:38:58
95.0,2016-08-22 23:08:43
95.0,2016-08-22 23:38:42
96.0,2016-08-22 19:08:51
95.0,2016-08-23 00:08:42
96.0,2016-08-22 20:38:48
96.0,2016-08-22 21:08:47
96.0,2016-08-22 21:38:46
96.0,2016-08-22 22:08:45
96.0,2016-08-22 22:38:44
95.0,2016-08-23 01:38:39
94.0,2016-08-23 03:08:36
94.0,2016-08-23 03:38:35
95.0,2016-08-23 00:38:41
95.0,2016-08-23 01:08:40
94.0,2016-08-23 04:08:34
94.0,2016-08-23 02:38:36
95.0,2016-08-23 02:08:37
94.0,2016-08-23 04:38:32
94.0,2016-08-23 05:08:31
95.0,2016-08-23 06:38:28
96.0,2016-08-23 08:38:24
96.0,2016-08-23 09:38:22
96.0,2016-08-23 09:08:23
94.0,2016-08-23 06:08:28
95.0,2016-08-23 07:38:25
94.0,2016-08-23 05:38:30
95.0,2016-08-23 07:08:26
96.0,2016-08-23 08:08:25
96.0,2016-08-23 10:08:21
96.0,2016-08-23 11:38:19
96.0,2016-08-23 12:08:17
98.0,2016-08-23 14:08:14
96.0,2016-08-23 10:38:20
98.0,2016-08-23 13:38:15
96.0,2016-08-23 14:38:13
96.0,2016-08-23 15:08:12
96.0,2016-08-23 11:08:20
98.0,2016-08-23 12:38:16
98.0,2016-08-23 13:08:15
96.0,2016-08-23 15:38:11
96.0,2016-08-23 16:08:10
96.0,2016-08-23 17:08:07
96.0,2016-08-23 16:38:08
96.0,2016-08-23 17:38:06
96.0,2016-08-23 18:08:05
96.0,2016-08-23 18:38:04
95.0,2016-08-23 23:07:54
96.0,2016-08-23 19:08:03
96.0,2016-08-23 21:07:58
96.0,2016-08-23 20:08:00
96.0,2016-08-23 22:07:56
96.0,2016-08-23 19:38:01
96.0,2016-08-23 20:37:59
96.0,2016-08-23 21:37:58
95.0,2016-08-23 22:37:55
95.0,2016-08-24 00:07:52
95.0,2016-08-24 01:37:48
95.0,2016-08-23 23:37:53
95.0,2016-08-24 01:07:50
95.0,2016-08-24 02:07:47
94.0,2016-08-24 03:37:45
95.0,2016-08-24 00:37:51
94.0,2016-08-24 04:07:45
