value,timestamp
32.687,2016-08-07 00:51:40
31.913,2016-08-16 01:15:58
31.913,2016-08-17 08:12:12
1.612,2016-08-19 08:08:32
1.876,2016-08-19 15:11:08
31.913,2016-08-19 07:08:34
7.753999999999999,2016-08-19 07:38:33
1.47,2016-08-19 15:41:08
0.936,2016-08-19 08:38:31
1.016,2016-08-19 16:11:07
0.945,2016-08-19 16:41:06
1.098,2016-08-19 17:11:05
0.605,2016-08-19 17:41:04
0.426,2016-08-19 18:41:01
0.606,2016-08-19 19:11:00
0.559,2016-08-19 19:40:59
0.439,2016-08-19 21:10:55
0.576,2016-08-19 20:10:58
0.395,2016-08-19 20:40:56
0.587,2016-08-19 18:11:02
0.359,2016-08-19 22:40:52
0.342,2016-08-19 21:40:54
0.342,2016-08-19 22:10:53
0.421,2016-08-19 23:10:50
0.342,2016-08-20 00:40:47
0.449,2016-08-20 01:10:46
0.59,2016-08-20 00:10:48
0.516,2016-08-19 23:40:49
0.46,2016-08-20 01:40:44
0.341,2016-08-20 02:10:44
0.392,2016-08-20 02:40:43
0.303,2016-08-20 03:10:41
0.328,2016-08-20 05:40:35
0.412,2016-08-20 07:10:32
0.328,2016-08-20 05:10:36
0.321,2016-08-20 03:40:40
0.613,2016-08-20 04:10:38
0.351,2016-08-20 04:40:38
0.331,2016-08-20 06:10:34
0.465,2016-08-20 06:40:33
0.543,2016-08-20 07:40:30
1.05,2016-08-20 09:10:28
1.384,2016-08-20 09:40:27
1.108,2016-08-20 08:10:30
0.673,2016-08-20 08:40:29
0.774,2016-08-20 10:10:26
0.641,2016-08-20 10:40:25
1.7719999999999998,2016-08-20 11:10:24
0.959,2016-08-20 11:40:23
0.581,2016-08-20 12:40:22
0.8249999999999998,2016-08-20 13:10:22
2.281,2016-08-20 14:40:20
2.058,2016-08-20 15:10:20
2.196,2016-08-20 16:40:17
0.534,2016-08-20 17:40:15
0.648,2016-08-20 12:10:23
1.683,2016-08-20 14:10:20
0.915,2016-08-20 15:40:19
1.928,2016-08-20 13:40:21
2.161,2016-08-20 17:10:16
0.752,2016-08-20 16:10:19
0.396,2016-08-20 20:10:09
0.397,2016-08-20 20:40:08
0.406,2016-08-20 18:10:14
0.473,2016-08-20 19:10:11
0.463,2016-08-20 19:40:10
0.852,2016-08-20 21:10:07
0.509,2016-08-20 18:40:13
0.697,2016-08-20 21:40:06
0.315,2016-08-20 22:10:06
0.56,2016-08-21 00:40:03
0.59,2016-08-21 01:10:01
0.41,2016-08-21 01:40:00
0.379,2016-08-21 02:09:59
0.479,2016-08-21 02:39:57
0.332,2016-08-20 23:10:05
0.373,2016-08-21 00:10:04
0.296,2016-08-20 22:40:06
0.368,2016-08-20 23:40:04
0.396,2016-08-21 03:09:57
0.307,2016-08-21 05:09:54
0.291,2016-08-21 06:09:53
0.32,2016-08-21 07:09:51
0.28,2016-08-21 04:39:55
0.3,2016-08-21 05:39:54
0.338,2016-08-21 07:39:50
0.339,2016-08-21 03:39:56
0.334,2016-08-21 04:09:55
0.296,2016-08-21 06:39:52
0.389,2016-08-21 08:39:48
0.356,2016-08-21 08:09:49
0.7490000000000001,2016-08-21 09:09:47
1.013,2016-08-21 09:39:46
0.788,2016-08-21 11:09:45
0.678,2016-08-21 10:39:45
0.576,2016-08-21 13:39:52
0.549,2016-08-21 14:09:52
0.599,2016-08-21 12:09:43
0.403,2016-08-21 13:09:53
0.742,2016-08-21 11:39:43
0.599,2016-08-21 12:39:42
0.9930000000000002,2016-08-21 10:09:46
0.446,2016-08-21 14:39:51
0.462,2016-08-21 15:09:51
0.435,2016-08-21 15:39:49
0.299,2016-08-21 18:39:43
0.415,2016-08-21 16:09:48
0.354,2016-08-21 18:09:44
0.306,2016-08-21 19:09:42
0.369,2016-08-21 16:39:47
0.998,2016-08-21 19:39:40
0.39,2016-08-21 17:09:46
0.416,2016-08-21 17:39:45
0.379,2016-08-21 20:09:39
0.296,2016-08-21 20:39:38
0.384,2016-08-21 21:09:37
1.002,2016-08-21 22:09:35
0.293,2016-08-21 23:09:32
0.384,2016-08-21 22:39:33
0.339,2016-08-21 21:39:35
0.455,2016-08-22 01:09:28
0.889,2016-08-22 00:39:29
1.194,2016-08-22 01:39:27
0.386,2016-08-22 02:09:26
0.28,2016-08-21 23:39:31
0.312,2016-08-22 00:09:29
0.348,2016-08-22 06:09:17
0.548,2016-08-22 03:09:23
0.31,2016-08-22 04:09:22
0.519,2016-08-22 02:39:25
0.288,2016-08-22 03:39:22
0.269,2016-08-22 04:39:21
0.363,2016-08-22 05:09:20
0.321,2016-08-22 08:09:13
0.455,2016-08-22 05:39:19
0.329,2016-08-22 06:39:16
0.293,2016-08-22 07:09:15
0.301,2016-08-22 07:39:14
0.314,2016-08-22 08:39:11
0.388,2016-08-22 09:39:09
0.366,2016-08-22 09:09:11
0.442,2016-08-22 10:09:08
0.8319999999999999,2016-08-22 12:39:05
0.771,2016-08-22 13:09:04
1.882,2016-08-22 13:39:02
1.083,2016-08-22 12:09:04
1.137,2016-08-22 15:09:01
1.134,2016-08-22 11:09:07
1.118,2016-08-22 14:39:01
0.682,2016-08-22 10:39:07
0.546,2016-08-22 11:39:05
1.2819999999999998,2016-08-22 14:09:02
0.602,2016-08-22 16:09:00
0.428,2016-08-22 17:38:56
1.105,2016-08-22 15:39:00
0.703,2016-08-22 16:38:58
0.32,2016-08-22 18:38:53
0.672,2016-08-22 20:08:49
1.204,2016-08-22 21:38:46
1.934,2016-08-22 22:08:45
0.549,2016-08-22 17:08:57
0.35,2016-08-22 18:08:55
0.326,2016-08-22 19:08:51
0.374,2016-08-22 19:38:50
1.228,2016-08-22 21:08:47
0.61,2016-08-22 20:38:48
1.767,2016-08-22 22:38:44
1.72,2016-08-23 00:08:42
1.797,2016-08-22 23:08:43
1.539,2016-08-22 23:38:42
1.19,2016-08-23 02:08:37
0.44299999999999995,2016-08-23 03:08:36
1.888,2016-08-23 03:38:35
1.506,2016-08-23 04:08:34
1.139,2016-08-23 00:38:41
0.787,2016-08-23 01:08:40
0.59,2016-08-23 01:38:39
0.88,2016-08-23 02:38:36
1.597,2016-08-23 04:38:32
0.324,2016-08-23 05:08:31
