value,timestamp
36.13,2016-08-07 00:51:40
26.6,2016-08-16 01:15:58
24.64,2016-08-17 08:12:12
24.73,2016-08-19 08:38:31
25.68,2016-08-19 07:38:33
25.33,2016-08-19 08:08:32
33.78,2016-08-19 15:11:08
25.8,2016-08-19 07:08:34
32.57,2016-08-19 15:41:08
32.22,2016-08-19 16:11:07
31.9,2016-08-19 16:41:06
32.16,2016-08-19 17:11:05
28.84,2016-08-19 17:41:04
23.71,2016-08-19 21:40:54
23.77,2016-08-19 22:10:53
27.39,2016-08-19 18:11:02
26.43,2016-08-19 18:41:01
25.52,2016-08-19 19:40:59
24.16,2016-08-19 21:10:55
23.65,2016-08-19 22:40:52
25.93,2016-08-19 19:11:00
24.48,2016-08-19 20:40:56
25.1,2016-08-19 20:10:58
23.37,2016-08-19 23:40:49
23.13,2016-08-20 01:10:46
23.46,2016-08-19 23:10:50
23.14,2016-08-20 00:40:47
23.22,2016-08-20 00:10:48
23.11,2016-08-20 01:40:44
22.87,2016-08-20 02:10:44
22.98,2016-08-20 02:40:43
22.82,2016-08-20 03:40:40
22.99,2016-08-20 04:40:38
22.92,2016-08-20 05:10:36
23.63,2016-08-20 06:10:34
23.66,2016-08-20 06:40:33
24.32,2016-08-20 07:10:32
22.87,2016-08-20 03:10:41
23.04,2016-08-20 04:10:38
25.0,2016-08-20 07:40:30
23.03,2016-08-20 05:40:35
28.87,2016-08-20 09:40:27
27.31,2016-08-20 09:10:28
29.79,2016-08-20 10:10:26
25.86,2016-08-20 08:10:30
27.37,2016-08-20 08:40:29
29.28,2016-08-20 10:40:25
28.0,2016-08-20 11:10:24
25.95,2016-08-20 11:40:23
27.4,2016-08-20 12:10:23
30.51,2016-08-20 13:10:22
32.21,2016-08-20 13:40:21
34.16,2016-08-20 15:10:20
29.07,2016-08-20 12:40:22
33.09,2016-08-20 14:10:20
33.6,2016-08-20 14:40:20
33.47,2016-08-20 15:40:19
32.5,2016-08-20 16:10:19
25.62,2016-08-20 18:40:13
25.22,2016-08-20 19:10:11
24.6,2016-08-20 19:40:10
23.8,2016-08-20 20:40:08
32.65,2016-08-20 16:40:17
30.43,2016-08-20 17:10:16
26.53,2016-08-20 17:40:15
26.05,2016-08-20 18:10:14
24.28,2016-08-20 20:10:09
23.96,2016-08-20 21:10:07
23.74,2016-08-20 21:40:06
23.26,2016-08-20 22:10:06
23.4,2016-08-20 22:40:06
22.62,2016-08-21 00:10:04
22.53,2016-08-21 01:40:00
23.03,2016-08-20 23:40:04
22.48,2016-08-21 00:40:03
22.7,2016-08-21 01:10:01
23.32,2016-08-20 23:10:05
22.3,2016-08-21 02:09:59
22.41,2016-08-21 02:39:57
22.16,2016-08-21 03:39:56
21.75,2016-08-21 04:09:55
22.25,2016-08-21 06:09:53
22.86,2016-08-21 06:39:52
22.26,2016-08-21 03:09:57
21.74,2016-08-21 04:39:55
24.58,2016-08-21 07:39:50
23.89,2016-08-21 07:09:51
21.59,2016-08-21 05:09:54
22.0,2016-08-21 05:39:54
26.99,2016-08-21 08:09:49
25.93,2016-08-21 08:39:48
25.93,2016-08-21 09:09:47
28.63,2016-08-21 09:39:46
28.63,2016-08-21 13:39:52
29.43,2016-08-21 11:39:43
28.92,2016-08-21 10:09:46
26.6,2016-08-21 14:39:51
28.43,2016-08-21 11:09:45
26.6,2016-08-21 13:09:53
27.56,2016-08-21 14:09:52
27.56,2016-08-21 10:39:45
27.91,2016-08-21 12:09:43
26.41,2016-08-21 12:39:42
22.27,2016-08-21 19:09:42
22.55,2016-08-21 19:39:40
23.23,2016-08-21 16:09:48
25.35,2016-08-21 15:39:49
22.93,2016-08-21 16:39:47
22.61,2016-08-21 17:09:46
22.3,2016-08-21 18:39:43
22.55,2016-08-21 19:39:40
25.88,2016-08-21 15:09:51
22.44,2016-08-21 17:39:45
22.31,2016-08-21 18:09:44
22.47,2016-08-21 20:09:39
22.44,2016-08-21 20:39:38
22.44,2016-08-21 21:09:37
22.49,2016-08-21 21:39:35
22.56,2016-08-21 22:39:33
22.53,2016-08-22 00:09:29
22.49,2016-08-22 01:39:27
22.13,2016-08-22 02:09:26
22.55,2016-08-21 22:09:35
20.43,2016-08-22 03:09:23
20.07,2016-08-22 03:39:22
22.45,2016-08-21 23:39:31
22.4,2016-08-21 23:09:32
22.63,2016-08-22 00:39:29
24.39,2016-08-22 08:09:13
24.13,2016-08-22 08:39:11
25.48,2016-08-22 09:09:11
22.51,2016-08-22 01:09:28
21.12,2016-08-22 05:09:20
21.52,2016-08-22 02:39:25
21.61,2016-08-22 06:39:16
21.89,2016-08-22 07:09:15
20.59,2016-08-22 04:09:22
20.98,2016-08-22 04:39:21
21.12,2016-08-22 06:09:17
22.97,2016-08-22 07:39:14
21.32,2016-08-22 05:39:19
25.89,2016-08-22 09:39:09
27.64,2016-08-22 10:09:08
31.01,2016-08-22 14:39:01
25.91,2016-08-22 17:38:56
29.72,2016-08-22 10:39:07
29.01,2016-08-22 12:39:05
28.69,2016-08-22 13:09:04
30.04,2016-08-22 13:39:02
29.37,2016-08-22 14:09:02
29.5,2016-08-22 12:09:04
31.51,2016-08-22 15:09:01
27.99,2016-08-22 11:09:07
