value,timestamp
97948.91,2016-08-07 00:51:40
95453.16,2016-08-16 01:15:58
95574.27,2016-08-17 08:12:12
95430.72,2016-08-19 07:38:33
95123.63,2016-08-19 15:11:08
95113.29,2016-08-19 15:41:08
95424.98,2016-08-19 07:08:34
95107.05,2016-08-19 16:11:07
95459.13,2016-08-19 08:08:32
95457.61,2016-08-19 08:38:31
95105.42,2016-08-19 16:41:06
95104.45,2016-08-19 17:11:05
95170.78000000001,2016-08-19 17:41:04
95209.61,2016-08-19 18:11:02
95276.61,2016-08-19 19:11:00
95223.7,2016-08-19 21:40:54
95091.2,2016-08-19 22:40:52
95262.47,2016-08-19 18:41:01
95109.92,2016-08-19 22:10:53
95291.5,2016-08-19 19:40:59
95312.11,2016-08-19 20:10:58
95380.84,2016-08-19 21:10:55
95332.42,2016-08-19 20:40:56
94981.52,2016-08-20 00:10:48
94997.14000000001,2016-08-19 23:40:49
95057.67,2016-08-19 23:10:50
94926.48,2016-08-20 00:40:47
94881.2,2016-08-20 01:10:46
94816.98,2016-08-20 01:40:44
94817.91,2016-08-20 02:10:44
94767.75,2016-08-20 02:40:43
94760.83,2016-08-20 04:10:38
94742.84,2016-08-20 03:40:40
94778.58,2016-08-20 04:40:38
94747.52,2016-08-20 03:10:41
94778.52,2016-08-20 05:10:36
94687.3,2016-08-20 09:10:28
94801.03000000001,2016-08-20 05:40:35
94859.61,2016-08-20 06:10:34
94893.7,2016-08-20 06:40:33
94912.77,2016-08-20 07:10:32
94925.53000000001,2016-08-20 07:40:30
94595.03000000001,2016-08-20 10:10:26
94672.05,2016-08-20 08:40:29
94689.69,2016-08-20 09:40:27
94784.34,2016-08-20 10:40:25
94920.24,2016-08-20 08:10:30
94283.8,2016-08-20 11:10:24
94368.37,2016-08-20 11:40:23
94345.65,2016-08-20 13:40:21
94307.44,2016-08-20 12:10:23
93308.49,2016-08-20 15:40:19
94490.25,2016-08-20 14:10:20
94333.36,2016-08-20 14:40:20
94210.72,2016-08-20 15:10:20
91123.77,2016-08-20 17:10:16
94098.48,2016-08-20 12:40:22
93850.55,2016-08-20 13:10:22
93484.73,2016-08-20 16:10:19
92973.58,2016-08-20 16:40:17
92259.84,2016-08-20 18:40:13
92065.14000000001,2016-08-20 19:10:11
92653.59,2016-08-20 20:10:09
89514.94999999998,2016-08-20 17:40:15
92075.05,2016-08-20 19:40:10
92912.0,2016-08-20 21:10:07
92740.89000000001,2016-08-20 18:10:14
93009.56,2016-08-20 20:40:08
92924.54,2016-08-20 21:40:06
93452.84,2016-08-20 22:10:06
93567.55,2016-08-20 22:40:06
93545.22,2016-08-21 00:10:04
93471.92,2016-08-21 00:40:03
93275.91,2016-08-21 02:09:59
93587.8,2016-08-20 23:10:05
93222.44,2016-08-21 02:39:57
93571.09,2016-08-20 23:40:04
93461.63,2016-08-21 01:10:01
93366.77,2016-08-21 01:40:00
