value,timestamp
96.0,2016-08-10 04:20:22
98.0,2016-08-17 08:06:11
96.0,2016-08-19 15:57:12
96.0,2016-08-19 07:54:49
96.0,2016-08-19 08:24:44
96.0,2016-08-19 15:27:16
98.0,2016-08-19 07:24:54
96.0,2016-08-19 16:27:07
96.0,2016-08-19 16:57:03
96.0,2016-08-19 17:26:58
96.0,2016-08-19 18:26:49
96.0,2016-08-19 20:26:33
95.0,2016-08-19 22:26:16
96.0,2016-08-19 19:26:41
96.0,2016-08-19 19:56:37
95.0,2016-08-19 21:56:20
95.0,2016-08-19 21:26:24
96.0,2016-08-19 17:56:54
96.0,2016-08-19 18:56:45
95.0,2016-08-19 20:56:29
95.0,2016-08-19 23:26:08
95.0,2016-08-19 22:56:12
94.0,2016-08-19 23:56:03
94.0,2016-08-20 01:25:51
94.0,2016-08-20 00:25:59
94.0,2016-08-20 00:55:56
94.0,2016-08-20 01:55:47
94.0,2016-08-20 02:25:43
93.0,2016-08-20 03:55:30
94.0,2016-08-20 02:55:38
93.0,2016-08-20 04:25:26
94.0,2016-08-20 03:25:35
93.0,2016-08-20 04:55:22
93.0,2016-08-20 05:25:18
95.0,2016-08-20 07:25:01
93.0,2016-08-20 05:55:13
94.0,2016-08-20 06:25:09
94.0,2016-08-20 06:55:05
96.0,2016-08-20 09:54:40
95.0,2016-08-20 07:54:57
95.0,2016-08-20 08:24:52
96.0,2016-08-20 08:54:48
96.0,2016-08-20 09:24:44
96.0,2016-08-20 10:24:35
96.0,2016-08-20 10:54:32
96.0,2016-08-20 11:24:27
96.0,2016-08-20 12:24:19
96.0,2016-08-20 13:54:06
96.0,2016-08-20 14:24:02
98.0,2016-08-20 14:53:58
98.0,2016-08-20 16:53:41
96.0,2016-08-20 17:53:31
96.0,2016-08-20 11:54:23
96.0,2016-08-20 12:54:15
96.0,2016-08-20 13:24:10
98.0,2016-08-20 16:23:45
98.0,2016-08-20 15:23:54
98.0,2016-08-20 15:53:49
96.0,2016-08-20 19:53:15
96.0,2016-08-20 18:23:27
96.0,2016-08-20 18:53:23
95.0,2016-08-20 20:23:10
96.0,2016-08-20 17:23:35
96.0,2016-08-20 19:23:18
95.0,2016-08-20 20:53:06
95.0,2016-08-20 21:23:02
95.0,2016-08-20 21:52:58
95.0,2016-08-20 22:52:49
94.0,2016-08-20 23:22:45
94.0,2016-08-21 02:52:16
94.0,2016-08-20 23:52:41
95.0,2016-08-20 22:22:54
94.0,2016-08-21 00:52:32
94.0,2016-08-21 01:22:29
94.0,2016-08-21 01:52:24
94.0,2016-08-21 00:22:37
94.0,2016-08-21 02:22:20
93.0,2016-08-21 03:52:08
93.0,2016-08-21 04:51:59
93.0,2016-08-21 04:22:04
93.0,2016-08-21 06:21:46
94.0,2016-08-21 06:51:43
95.0,2016-08-21 07:51:34
93.0,2016-08-21 03:22:12
93.0,2016-08-21 05:21:55
94.0,2016-08-21 07:21:38
95.0,2016-08-21 08:21:30
93.0,2016-08-21 05:51:51
96.0,2016-08-21 08:51:26
96.0,2016-08-21 09:21:21
96.0,2016-08-21 09:51:17
96.0,2016-08-21 10:21:13
96.0,2016-08-21 11:51:00
96.0,2016-08-21 13:20:59
96.0,2016-08-21 11:21:05
96.0,2016-08-21 12:20:56
96.0,2016-08-21 14:50:47
96.0,2016-08-21 12:50:52
96.0,2016-08-21 13:50:55
96.0,2016-08-21 14:20:51
96.0,2016-08-21 10:51:09
96.0,2016-08-21 19:20:08
95.0,2016-08-21 19:50:04
95.0,2016-08-21 20:19:59
96.0,2016-08-21 15:50:39
96.0,2016-08-21 16:50:30
96.0,2016-08-21 18:50:12
96.0,2016-08-21 17:50:20
96.0,2016-08-21 18:20:16
96.0,2016-08-21 15:20:42
96.0,2016-08-21 16:20:34
96.0,2016-08-21 17:20:24
95.0,2016-08-21 20:49:55
95.0,2016-08-21 21:19:51
95.0,2016-08-21 22:49:38
94.0,2016-08-21 23:49:30
94.0,2016-08-22 01:19:18
95.0,2016-08-21 21:49:47
95.0,2016-08-21 22:19:42
94.0,2016-08-22 00:19:26
94.0,2016-08-22 02:19:09
94.0,2016-08-22 02:49:05
93.0,2016-08-22 03:19:01
94.0,2016-08-22 01:49:13
94.0,2016-08-21 23:19:34
94.0,2016-08-22 00:49:22
94.0,2016-08-22 06:48:32
95.0,2016-08-22 07:48:23
93.0,2016-08-22 03:48:56
93.0,2016-08-22 04:18:52
93.0,2016-08-22 04:48:48
93.0,2016-08-22 06:18:36
93.0,2016-08-22 05:48:39
93.0,2016-08-22 05:18:44
94.0,2016-08-22 07:18:27
95.0,2016-08-22 08:18:19
95.0,2016-08-22 08:48:15
96.0,2016-08-22 09:18:10
96.0,2016-08-22 09:48:06
96.0,2016-08-22 10:18:02
96.0,2016-08-22 12:47:41
96.0,2016-08-22 13:47:33
96.0,2016-08-22 14:17:29
96.0,2016-08-22 10:47:58
96.0,2016-08-22 11:47:50
96.0,2016-08-22 13:17:37
96.0,2016-08-22 14:47:24
96.0,2016-08-22 11:17:54
96.0,2016-08-22 12:17:45
96.0,2016-08-22 17:46:56
96.0,2016-08-22 18:46:48
96.0,2016-08-22 19:46:40
96.0,2016-08-22 15:17:20
96.0,2016-08-22 17:17:02
96.0,2016-08-22 18:16:53
96.0,2016-08-22 16:47:07
95.0,2016-08-22 22:46:15
96.0,2016-08-22 15:47:16
96.0,2016-08-22 16:17:11
96.0,2016-08-22 19:16:44
95.0,2016-08-22 20:16:36
95.0,2016-08-22 21:46:23
95.0,2016-08-22 22:16:19
94.0,2016-08-22 23:16:11
95.0,2016-08-22 21:16:28
94.0,2016-08-22 23:46:06
95.0,2016-08-22 20:46:32
94.0,2016-08-23 00:16:02
94.0,2016-08-23 01:15:54
94.0,2016-08-23 02:15:46
93.0,2016-08-23 03:15:37
94.0,2016-08-23 01:45:50
93.0,2016-08-23 05:15:21
