value,timestamp
,2016-08-10 04:20:22
95503.76,2016-08-17 08:06:11
93532.15,2016-08-19 08:24:44
63162.29,2016-08-19 15:57:12
93532.43,2016-08-19 07:24:54
93540.84,2016-08-19 07:54:49
62940.17,2016-08-19 15:27:16
62990.65,2016-08-19 16:27:07
63059.3,2016-08-19 16:57:03
63190.56,2016-08-19 17:26:58
63449.04,2016-08-19 18:56:45
63547.99,2016-08-19 21:26:24
63576.27,2016-08-19 21:56:20
63582.32,2016-08-19 22:26:16
63299.6,2016-08-19 17:56:54
63463.18,2016-08-19 19:26:41
63493.46,2016-08-19 19:56:37
63543.95,2016-08-19 20:56:29
63406.63,2016-08-19 18:26:49
63525.78,2016-08-19 20:26:33
63632.81,2016-08-19 23:26:08
63576.27,2016-08-19 23:56:03
63576.27,2016-08-20 00:25:59
63604.54,2016-08-20 00:55:56
63602.52,2016-08-19 22:56:12
63630.79,2016-08-20 01:25:51
63626.75,2016-08-20 01:55:47
63576.27,2016-08-20 02:25:43
63600.5,2016-08-20 03:55:30
63640.89,2016-08-20 06:55:05
63657.05,2016-08-20 03:25:35
63644.93,2016-08-20 04:55:22
63622.71,2016-08-20 06:25:09
63661.09,2016-08-20 04:25:26
63653.01,2016-08-20 02:55:38
63655.03,2016-08-20 05:25:18
63636.85,2016-08-20 05:55:13
63606.56,2016-08-20 07:25:01
63319.79,2016-08-20 10:24:35
63594.44,2016-08-20 07:54:57
63378.36,2016-08-20 08:54:48
63459.13,2016-08-20 08:24:52
63346.05,2016-08-20 09:24:44
63335.95,2016-08-20 09:54:40
63366.24,2016-08-20 10:54:32
63487.41,2016-08-20 11:24:27
63162.29,2016-08-20 13:24:10
63043.15,2016-08-20 14:24:02
63024.98,2016-08-20 14:53:58
62996.71,2016-08-20 15:23:54
62984.59,2016-08-20 15:53:49
63394.51,2016-08-20 11:54:23
63301.62,2016-08-20 12:24:19
63012.86,2016-08-20 13:54:06
63237.0,2016-08-20 12:54:15
62968.44,2016-08-20 16:23:45
63527.8,2016-08-20 18:53:23
63556.07,2016-08-20 19:23:18
63164.3,2016-08-20 17:23:35
63471.25,2016-08-20 17:53:31
63479.33,2016-08-20 18:23:27
63073.44,2016-08-20 16:53:41
63584.34,2016-08-20 20:53:06
63590.4,2016-08-20 19:53:15
63578.29,2016-08-20 20:23:10
63596.46,2016-08-20 21:23:02
63620.69,2016-08-20 21:52:58
63596.46,2016-08-20 22:52:49
63661.09,2016-08-21 01:22:29
63608.58,2016-08-20 22:22:54
63648.96,2016-08-21 00:22:37
63663.11,2016-08-21 00:52:32
63630.79,2016-08-21 01:52:24
63620.69,2016-08-20 23:22:45
63705.52,2016-08-21 02:22:20
63636.85,2016-08-20 23:52:41
63673.2,2016-08-21 02:52:16
63691.38,2016-08-21 03:22:12
63709.55,2016-08-21 03:52:08
63749.95,2016-08-21 05:51:51
63745.91,2016-08-21 06:21:46
63628.77,2016-08-21 07:21:38
63665.13,2016-08-21 07:51:34
63747.93,2016-08-21 04:22:04
63721.67,2016-08-21 04:51:59
63766.1,2016-08-21 05:21:55
63721.67,2016-08-21 06:51:43
63564.15,2016-08-21 08:21:30
63598.48,2016-08-21 08:51:26
63533.86,2016-08-21 09:21:21
63477.31,2016-08-21 09:51:17
63342.01,2016-08-21 10:21:13
63430.86,2016-08-21 13:20:59
63370.28,2016-08-21 13:50:55
63390.47,2016-08-21 10:51:09
63277.39,2016-08-21 11:21:05
63513.66,2016-08-21 14:20:51
63418.75,2016-08-21 11:51:00
63440.96,2016-08-21 12:20:56
63582.32,2016-08-21 12:50:52
63501.54,2016-08-21 14:50:47
63665.13,2016-08-21 16:20:34
63661.09,2016-08-21 16:50:30
63661.09,2016-08-21 17:20:24
63703.5,2016-08-21 18:20:16
63689.36,2016-08-21 18:50:12
63689.36,2016-08-21 19:20:08
63556.07,2016-08-21 15:20:42
63741.87,2016-08-21 19:50:04
63550.01,2016-08-21 15:50:39
63655.03,2016-08-21 17:50:20
63741.87,2016-08-21 19:50:04
63697.44,2016-08-21 20:19:59
63713.59,2016-08-21 20:49:55
63723.69,2016-08-21 21:19:51
63713.59,2016-08-21 22:19:42
63721.67,2016-08-21 22:49:38
63721.67,2016-08-21 21:49:47
63719.65,2016-08-21 23:19:34
63723.69,2016-08-22 01:19:18
63713.59,2016-08-22 01:49:13
63786.3,2016-08-22 02:19:09
63707.54,2016-08-22 00:49:22
63741.87,2016-08-21 23:49:30
63721.67,2016-08-22 00:19:26
63949.89,2016-08-22 03:19:01
63893.34,2016-08-22 02:49:05
63907.48,2016-08-22 05:18:44
63895.36,2016-08-22 03:48:56
63863.04,2016-08-22 04:18:52
63881.22,2016-08-22 04:48:48
63869.11,2016-08-22 05:48:39
63885.26,2016-08-22 06:18:36
63881.22,2016-08-22 07:18:27
63869.11,2016-08-22 06:48:32
63865.06,2016-08-22 07:48:23
63790.34,2016-08-22 08:18:19
63782.26,2016-08-22 08:48:15
63705.52,2016-08-22 09:18:10
63594.44,2016-08-22 09:48:06
63420.77,2016-08-22 10:18:02
63350.09,2016-08-22 10:47:58
63354.13,2016-08-22 14:17:29
63511.64,2016-08-22 17:17:02
63519.72,2016-08-22 17:46:56
63523.76,2016-08-22 11:17:54
63406.63,2016-08-22 13:17:37
63424.8,2016-08-22 12:17:45
63287.48,2016-08-22 13:47:33
63376.34,2016-08-22 11:47:50
63317.78,2016-08-22 12:47:41
63289.5,2016-08-22 14:47:24
63224.89,2016-08-22 15:17:20
63234.98,2016-08-22 15:47:16
63390.47,2016-08-22 16:17:11
63398.55,2016-08-22 16:47:07
63596.46,2016-08-22 18:16:53
63590.4,2016-08-22 18:46:48
63596.46,2016-08-22 18:16:53
63588.38,2016-08-22 19:16:44
63513.66,2016-08-22 19:46:40
63600.5,2016-08-22 21:46:23
63592.42,2016-08-22 22:16:19
63584.34,2016-08-22 22:46:15
63628.77,2016-08-22 23:16:11
63453.08,2016-08-22 20:16:36
63600.5,2016-08-22 20:46:32
63566.17,2016-08-22 21:16:28
63717.63,2016-08-22 23:46:06
63673.2,2016-08-23 00:16:02
63737.83,2016-08-23 01:45:50
63727.73,2016-08-23 04:45:24
63648.96,2016-08-23 02:15:46
63648.96,2016-08-23 03:45:33
63673.2,2016-08-23 00:45:58
63667.14,2016-08-23 04:15:29
63729.75,2016-08-23 01:15:54
63715.61,2016-08-23 02:45:42
63717.63,2016-08-23 03:15:37
63731.77,2016-08-23 05:15:21
63802.46,2016-08-23 05:45:16
63764.08,2016-08-23 07:15:04
63709.55,2016-08-23 07:44:59
63693.4,2016-08-23 08:14:56
63764.08,2016-08-23 06:15:12
63509.62,2016-08-23 09:14:47
63469.23,2016-08-23 10:14:39
63758.02,2016-08-23 06:45:08
63370.28,2016-08-23 09:44:42
63582.32,2016-08-23 08:44:52
63396.53,2016-08-23 10:44:34
63208.73,2016-08-23 12:14:22
63136.04,2016-08-23 12:44:17
63491.45,2016-08-23 14:14:05
63543.95,2016-08-23 15:13:56
63346.05,2016-08-23 11:14:30
63275.37,2016-08-23 11:44:26
63079.5,2016-08-23 13:14:14
63398.55,2016-08-23 13:44:09
63539.91,2016-08-23 14:44:01
63646.95,2016-08-23 16:43:44
63539.91,2016-08-23 15:43:52
63650.99,2016-08-23 16:13:48
63653.01,2016-08-23 17:13:38
63687.34,2016-08-23 17:43:33
63687.34,2016-08-23 17:43:33
63677.24,2016-08-23 20:13:12
63689.36,2016-08-23 21:13:04
63709.55,2016-08-23 18:43:25
63735.81,2016-08-23 23:12:47
63733.79,2016-08-24 00:12:39
63697.44,2016-08-23 18:13:29
63697.44,2016-08-23 20:43:08
63735.81,2016-08-23 22:12:56
63729.75,2016-08-23 19:13:21
63709.55,2016-08-23 19:43:17
63768.12,2016-08-24 02:42:18
63721.67,2016-08-23 21:43:00
63673.2,2016-08-23 22:42:51
63733.79,2016-08-24 00:42:34
63719.65,2016-08-24 01:12:31
63711.57,2016-08-24 01:42:26
63737.83,2016-08-24 02:12:22
63741.87,2016-08-23 23:42:43
63788.32,2016-08-24 03:42:10
63564.15,2016-08-24 08:41:28
63717.63,2016-08-24 05:11:57
63770.14,2016-08-24 05:41:53
63725.71,2016-08-24 08:11:32
63753.98,2016-08-24 03:12:14
63766.1,2016-08-24 04:12:05
63749.95,2016-08-24 04:42:01
63828.71,2016-08-24 06:41:44
63772.16,2016-08-24 06:11:49
