value,timestamp
,2016-08-10 04:20:22
32.494,2016-08-17 08:06:11
4.785,2016-08-19 07:54:49
30.612,2016-08-19 07:24:54
1.537,2016-08-19 08:24:44
1.285,2016-08-19 15:27:16
1.719,2016-08-19 15:57:12
0.604,2016-08-19 16:27:07
0.919,2016-08-19 16:57:03
1.284,2016-08-19 17:26:58
1.46,2016-08-19 17:56:54
1.007,2016-08-19 19:56:37
0.508,2016-08-19 20:56:29
0.691,2016-08-19 18:26:49
0.452,2016-08-19 18:56:45
0.8269999999999998,2016-08-19 20:26:33
0.298,2016-08-19 21:56:20
1.046,2016-08-19 22:26:16
0.661,2016-08-19 19:26:41
0.385,2016-08-19 21:26:24
0.434,2016-08-19 22:56:12
0.49,2016-08-19 23:56:03
0.65,2016-08-20 00:25:59
1.476,2016-08-20 00:55:56
0.656,2016-08-19 23:26:08
1.066,2016-08-20 01:25:51
0.36,2016-08-20 01:55:47
2.614,2016-08-20 02:25:43
1.07,2016-08-20 02:55:38
0.327,2016-08-20 04:25:26
0.297,2016-08-20 05:25:18
0.416,2016-08-20 05:55:13
0.767,2016-08-20 06:55:05
0.451,2016-08-20 03:55:30
0.293,2016-08-20 04:55:22
0.768,2016-08-20 03:25:35
0.526,2016-08-20 06:25:09
2.549,2016-08-20 09:24:44
0.581,2016-08-20 07:25:01
0.914,2016-08-20 07:54:57
0.63,2016-08-20 08:24:52
1.505,2016-08-20 08:54:48
1.15,2016-08-20 09:54:40
1.204,2016-08-20 10:24:35
1.638,2016-08-20 10:54:32
1.406,2016-08-20 11:24:27
0.902,2016-08-20 15:23:54
1.115,2016-08-20 12:24:19
0.611,2016-08-20 12:54:15
3.3310000000000004,2016-08-20 13:54:06
2.158,2016-08-20 14:24:02
1.225,2016-08-20 14:53:58
1.456,2016-08-20 17:23:35
1.194,2016-08-20 11:54:23
0.75,2016-08-20 13:24:10
0.589,2016-08-20 15:53:49
3.335,2016-08-20 16:53:41
1.934,2016-08-20 17:53:31
0.315,2016-08-20 20:23:10
4.279,2016-08-20 16:23:45
0.299,2016-08-20 19:53:15
0.795,2016-08-20 18:53:23
0.4,2016-08-20 19:23:18
0.365,2016-08-20 20:53:06
0.471,2016-08-20 18:23:27
0.45,2016-08-20 21:23:02
0.366,2016-08-20 21:52:58
0.26,2016-08-20 22:22:54
0.398,2016-08-21 02:52:16
0.337,2016-08-21 01:22:29
0.274,2016-08-21 02:22:20
0.667,2016-08-21 03:22:12
0.286,2016-08-20 23:52:41
0.286,2016-08-21 00:22:37
0.244,2016-08-20 22:52:49
0.275,2016-08-20 23:22:45
0.354,2016-08-21 00:52:32
1.318,2016-08-21 01:52:24
0.221,2016-08-21 05:51:51
0.238,2016-08-21 06:51:43
0.21600000000000003,2016-08-21 05:21:55
0.214,2016-08-21 04:51:59
0.222,2016-08-21 06:21:46
0.765,2016-08-21 03:52:08
0.251,2016-08-21 07:51:34
0.238,2016-08-21 04:22:04
0.442,2016-08-21 07:21:38
0.308,2016-08-21 08:51:26
0.272,2016-08-21 08:21:30
0.299,2016-08-21 09:21:21
1.3869999999999998,2016-08-21 09:51:17
0.807,2016-08-21 12:20:56
0.489,2016-08-21 14:20:51
0.784,2016-08-21 10:21:13
1.004,2016-08-21 11:21:05
0.456,2016-08-21 12:50:52
2.552,2016-08-21 10:51:09
1.559,2016-08-21 11:51:00
