value,timestamp
,2016-08-10 04:20:22
100.0,2016-08-17 08:06:11
90.2,2016-08-19 07:54:49
38.6,2016-08-19 15:57:12
94.2,2016-08-19 08:24:44
32.0,2016-08-19 15:27:16
86.5,2016-08-19 07:24:54
34.4,2016-08-19 16:27:07
35.70000000000001,2016-08-19 16:57:03
41.7,2016-08-19 17:26:58
45.1,2016-08-19 18:26:49
53.2,2016-08-19 19:56:37
56.1,2016-08-19 20:26:33
64.4,2016-08-19 22:26:16
49.5,2016-08-19 19:26:41
62.5,2016-08-19 21:56:20
61.2,2016-08-19 21:26:24
42.7,2016-08-19 17:56:54
46.9,2016-08-19 18:56:45
58.1,2016-08-19 20:56:29
64.3,2016-08-19 23:26:08
64.3,2016-08-19 23:56:03
63.2,2016-08-19 22:56:12
64.5,2016-08-20 01:25:51
64.5,2016-08-20 00:25:59
64.6,2016-08-20 00:55:56
65.8,2016-08-20 01:55:47
66.7,2016-08-20 02:25:43
66.2,2016-08-20 02:55:38
67.6,2016-08-20 03:55:30
66.8,2016-08-20 04:25:26
64.5,2016-08-20 07:25:01
67.1,2016-08-20 03:25:35
66.7,2016-08-20 05:55:13
66.5,2016-08-20 04:55:22
66.8,2016-08-20 05:25:18
51.4,2016-08-20 09:24:44
66.2,2016-08-20 06:25:09
65.8,2016-08-20 06:55:05
56.0,2016-08-20 08:24:52
49.2,2016-08-20 09:54:40
61.6,2016-08-20 07:54:57
54.7,2016-08-20 08:54:48
46.9,2016-08-20 10:24:35
49.2,2016-08-20 10:54:32
55.8,2016-08-20 11:24:27
48.2,2016-08-20 12:24:19
33.6,2016-08-20 13:54:06
32.2,2016-08-20 14:24:02
30.9,2016-08-20 14:53:58
36.3,2016-08-20 16:53:41
53.9,2016-08-20 17:53:31
54.7,2016-08-20 11:54:23
46.8,2016-08-20 12:54:15
39.7,2016-08-20 13:24:10
32.5,2016-08-20 16:23:45
32.0,2016-08-20 15:23:54
32.2,2016-08-20 15:53:49
59.1,2016-08-20 19:53:15
52.8,2016-08-20 18:23:27
53.1,2016-08-20 18:53:23
60.3,2016-08-20 20:23:10
39.0,2016-08-20 17:23:35
56.5,2016-08-20 19:23:18
61.5,2016-08-20 20:53:06
61.5,2016-08-20 21:23:02
62.6,2016-08-20 21:52:58
66.7,2016-08-20 23:22:45
65.3,2016-08-21 02:52:16
66.9,2016-08-20 23:52:41
64.4,2016-08-20 22:22:54
67.9,2016-08-21 00:52:32
65.6,2016-08-21 01:22:29
65.2,2016-08-21 01:52:24
66.1,2016-08-20 22:52:49
68.2,2016-08-21 00:22:37
65.2,2016-08-21 01:52:24
66.0,2016-08-21 02:22:20
65.4,2016-08-21 03:52:08
66.8,2016-08-21 04:51:59
66.0,2016-08-21 06:21:46
66.5,2016-08-21 04:22:04
64.3,2016-08-21 06:51:43
60.1,2016-08-21 07:51:34
65.6,2016-08-21 03:22:12
67.5,2016-08-21 05:21:55
61.1,2016-08-21 07:21:38
56.2,2016-08-21 08:21:30
66.9,2016-08-21 05:51:51
57.7,2016-08-21 08:51:26
58.3,2016-08-21 09:21:21
53.1,2016-08-21 09:51:17
52.7,2016-08-21 11:51:00
54.1,2016-08-21 14:20:51
60.5,2016-08-21 13:20:59
51.8,2016-08-21 11:21:05
53.8,2016-08-21 12:20:56
54.1,2016-08-21 14:20:51
57.2,2016-08-21 14:50:47
50.3,2016-08-21 10:21:13
60.1,2016-08-21 12:50:52
52.8,2016-08-21 13:50:55
