value,timestamp
32.035,2016-08-17 01:06:49
32.035,2016-08-17 02:06:47
32.035,2016-08-17 02:36:46
7.519,2016-08-17 03:06:45
3.435,2016-08-17 03:36:44
3.748,2016-08-17 04:06:42
4.199,2016-08-17 04:36:41
1.55,2016-08-17 05:06:40
2.064,2016-08-17 05:36:39
1.655,2016-08-17 06:36:37
2.504,2016-08-17 07:36:34
6.028,2016-08-17 08:06:33
2.843,2016-08-17 06:06:38
32.035,2016-08-17 01:36:49
0.911,2016-08-17 07:06:35
19.88,2016-08-17 08:36:32
3.61,2016-08-17 09:06:31
1.8330000000000002,2016-08-17 09:36:29
19.88,2016-08-17 11:36:24
19.88,2016-08-17 12:06:23
19.88,2016-08-17 12:36:22
19.88,2016-08-17 13:06:21
19.88,2016-08-17 13:36:20
19.88,2016-08-17 15:36:16
19.88,2016-08-17 16:06:15
19.88,2016-08-17 10:06:28
19.88,2016-08-17 11:06:25
5.01,2016-08-17 14:36:18
19.88,2016-08-17 10:36:27
4.416,2016-08-17 18:06:12
1.083,2016-08-17 18:36:11
19.88,2016-08-17 14:06:19
19.88,2016-08-17 15:06:17
1.666,2016-08-17 16:36:13
1.558,2016-08-17 17:06:13
1.57,2016-08-17 19:06:10
19.88,2016-08-17 19:36:08
19.88,2016-08-17 20:06:08
19.88,2016-08-17 20:36:07
19.88,2016-08-17 21:06:07
10.915999999999999,2016-08-18 03:05:57
2.522,2016-08-18 02:05:59
19.88,2016-08-18 02:35:58
19.88,2016-08-18 03:35:57
19.88,2016-08-18 05:05:54
19.88,2016-08-17 21:36:06
9.669,2016-08-17 22:06:04
6.362,2016-08-17 22:36:03
3.407,2016-08-17 23:06:02
2.222,2016-08-17 23:36:01
5.973,2016-08-18 00:06:01
4.465,2016-08-18 00:36:00
2.917,2016-08-18 01:06:00
2.053,2016-08-18 01:35:59
19.88,2016-08-18 04:05:56
19.88,2016-08-18 04:35:54
19.88,2016-08-18 05:35:52
19.88,2016-08-18 06:05:51
19.88,2016-08-18 06:35:50
19.88,2016-08-18 07:35:48
19.88,2016-08-18 08:05:47
19.88,2016-08-18 09:05:44
19.88,2016-08-18 09:35:42
19.88,2016-08-18 11:05:39
19.88,2016-08-18 12:05:37
19.88,2016-08-18 07:05:48
19.88,2016-08-18 13:35:34
19.88,2016-08-18 10:05:41
19.88,2016-08-18 12:35:36
19.88,2016-08-18 13:05:35
19.88,2016-08-18 16:05:28
19.88,2016-08-18 08:35:45
19.88,2016-08-18 10:35:40
19.88,2016-08-18 11:35:38
5.458,2016-08-18 14:05:32
19.88,2016-08-18 15:05:29
,2016-08-18 14:35:31
19.88,2016-08-18 15:35:28
19.88,2016-08-18 16:35:27
19.88,2016-08-18 17:05:26
19.88,2016-08-18 20:05:19
19.88,2016-08-18 22:05:14
19.88,2016-08-18 18:35:22
19.88,2016-08-18 20:35:17
19.88,2016-08-18 17:35:25
19.88,2016-08-18 21:35:15
19.88,2016-08-18 22:35:13
19.88,2016-08-18 23:35:12
19.88,2016-08-19 00:05:10
19.88,2016-08-19 00:35:09
19.88,2016-08-18 18:05:23
2.636,2016-08-18 19:05:21
19.88,2016-08-18 19:35:20
19.88,2016-08-18 21:05:16
19.88,2016-08-19 01:05:08
19.88,2016-08-19 01:35:08
6.398,2016-08-19 02:05:07
7.65,2016-08-19 04:35:13
19.88,2016-08-19 05:35:21
4.839,2016-08-19 02:35:06
4.359,2016-08-19 05:05:17
19.88,2016-08-19 03:05:10
3.108,2016-08-19 03:35:09
19.88,2016-08-19 04:05:08
