value,timestamp
93783.92,2016-08-17 04:06:42
72512.86,2016-08-17 08:06:33
72707.69,2016-08-17 06:36:37
72780.75,2016-08-17 07:06:35
72770.58999999998,2016-08-17 07:36:34
97802.59,2016-08-17 01:36:49
97651.63,2016-08-17 02:06:47
96581.83,2016-08-17 02:36:46
94869.75,2016-08-17 03:06:45
94445.72,2016-08-17 03:36:44
97887.09,2016-08-17 01:06:49
92847.59,2016-08-17 04:36:41
92361.17,2016-08-17 05:06:40
91886.47,2016-08-17 05:36:39
91578.5,2016-08-17 06:06:38
72608.24,2016-08-17 08:36:32
72717.83,2016-08-17 09:06:31
72924.83999999998,2016-08-17 09:36:29
72736.08999999998,2016-08-17 14:36:18
51156.54,2016-08-17 18:36:11
72484.44999999998,2016-08-17 12:06:23
72338.33999999998,2016-08-17 12:36:22
72395.16,2016-08-17 13:06:21
72269.33999999998,2016-08-17 15:06:17
72606.22,2016-08-17 15:36:16
72421.55,2016-08-17 10:36:27
72403.28,2016-08-17 11:06:25
72397.19,2016-08-17 10:06:28
72468.22,2016-08-17 11:36:24
72346.46,2016-08-17 13:36:20
72756.39,2016-08-17 14:06:19
72679.27,2016-08-17 16:06:15
51160.58,2016-08-17 16:36:13
51152.51,2016-08-17 17:06:13
51152.51,2016-08-17 18:06:12
51152.51,2016-08-17 19:06:10
51152.51,2016-08-17 19:36:08
51156.54,2016-08-17 20:06:08
51156.54,2016-08-17 22:06:04
51156.54,2016-08-17 22:36:03
51152.51,2016-08-17 23:06:02
51156.54,2016-08-17 23:36:01
51152.51,2016-08-18 00:06:01
51154.52,2016-08-17 20:36:07
51154.52,2016-08-17 21:06:07
51156.54,2016-08-18 00:36:00
51156.54,2016-08-18 01:06:00
51154.52,2016-08-18 01:35:59
51154.52,2016-08-18 03:35:57
51158.56,2016-08-17 21:36:06
51156.54,2016-08-18 02:05:59
51154.52,2016-08-18 02:35:58
51156.54,2016-08-18 03:05:57
51158.56,2016-08-18 04:05:56
51152.51,2016-08-18 04:35:54
51156.54,2016-08-18 05:05:54
51154.52,2016-08-18 05:35:52
51156.54,2016-08-18 06:05:51
51154.52,2016-08-18 06:35:50
51156.54,2016-08-18 10:05:41
51156.54,2016-08-18 08:05:47
51156.54,2016-08-18 08:35:45
16709085.0,2016-08-18 10:35:40
51154.52,2016-08-18 12:05:37
51154.52,2016-08-18 12:35:36
51156.54,2016-08-18 13:05:35
51156.54,2016-08-18 14:05:32
51152.51,2016-08-18 13:35:34
51154.52,2016-08-18 07:05:48
51156.54,2016-08-18 07:35:48
51156.54,2016-08-18 09:05:44
51150.48,2016-08-18 09:35:42
51156.54,2016-08-18 11:35:38
51154.52,2016-08-18 11:05:39
51156.54,2016-08-18 16:05:28
51152.51,2016-08-18 15:05:29
51154.52,2016-08-18 15:35:28
102439.24,2016-08-18 14:35:31
51158.56,2016-08-18 16:35:27
51154.52,2016-08-18 17:05:26
51158.56,2016-08-18 18:35:22
51156.54,2016-08-18 19:05:21
51156.54,2016-08-18 19:35:20
51156.54,2016-08-19 00:05:10
51152.51,2016-08-18 18:05:23
51152.51,2016-08-18 22:05:14
51156.54,2016-08-18 20:05:19
51156.54,2016-08-18 21:05:16
51150.48,2016-08-18 21:35:15
51154.52,2016-08-18 20:35:17
51154.52,2016-08-18 17:35:25
51154.52,2016-08-18 22:35:13
51144.43,2016-08-18 23:35:12
51156.54,2016-08-19 00:35:09
51156.54,2016-08-19 01:05:08
51172.69,2016-08-19 01:35:08
51176.73,2016-08-19 02:05:07
51168.65,2016-08-19 03:35:09
51170.67,2016-08-19 03:05:10
51170.67,2016-08-19 04:05:08
51192.88,2016-08-19 05:05:17
51209.02,2016-08-19 05:35:21
51166.64,2016-08-19 02:35:06
51194.89,2016-08-19 04:35:13
