value,timestamp
96.0,2016-08-15 05:22:31
96.0,2016-08-15 05:52:30
96.0,2016-08-15 06:22:29
96.0,2016-08-15 06:52:28
96.0,2016-08-15 07:22:26
95.0,2016-08-15 08:52:23
95.0,2016-08-15 09:22:22
95.0,2016-08-15 10:22:19
96.0,2016-08-15 08:22:25
95.0,2016-08-15 09:52:21
95.0,2016-08-15 10:52:18
95.0,2016-08-15 11:22:18
95.0,2016-08-15 11:52:15
95.0,2016-08-15 12:22:15
94.0,2016-08-15 12:52:13
94.0,2016-08-15 14:22:10
94.0,2016-08-15 13:52:11
94.0,2016-08-15 13:22:12
94.0,2016-08-15 14:52:09
94.0,2016-08-15 15:22:07
94.0,2016-08-15 15:52:06
94.0,2016-08-15 16:22:05
94.0,2016-08-15 16:52:04
95.0,2016-08-15 20:21:57
94.0,2016-08-15 18:52:00
93.0,2016-08-15 17:22:03
95.0,2016-08-15 19:51:58
93.0,2016-08-15 17:52:02
94.0,2016-08-15 19:21:59
94.0,2016-08-15 18:22:01
95.0,2016-08-15 20:51:55
95.0,2016-08-15 21:21:54
95.0,2016-08-15 21:51:53
95.0,2016-08-15 22:21:51
96.0,2016-08-16 00:21:49
96.0,2016-08-16 00:51:48
96.0,2016-08-16 01:21:47
96.0,2016-08-15 23:21:50
96.0,2016-08-16 02:51:45
96.0,2016-08-15 22:51:51
96.0,2016-08-16 01:51:47
96.0,2016-08-16 02:21:46
96.0,2016-08-15 23:51:50
96.0,2016-08-16 03:21:44
96.0,2016-08-16 03:51:44
96.0,2016-08-16 04:21:44
95.0,2016-08-16 05:51:41
95.0,2016-08-16 06:21:40
95.0,2016-08-16 09:21:33
95.0,2016-08-16 06:51:38
95.0,2016-08-16 07:21:38
95.0,2016-08-16 07:51:36
96.0,2016-08-16 05:21:42
96.0,2016-08-16 04:51:43
95.0,2016-08-16 08:21:35
95.0,2016-08-16 08:51:34
94.0,2016-08-16 09:51:32
94.0,2016-08-16 12:51:25
94.0,2016-08-16 13:51:23
94.0,2016-08-16 11:21:29
