value,timestamp
98.0,2016-08-15 05:31:29
98.0,2016-08-15 06:01:28
98.0,2016-08-15 06:31:27
98.0,2016-08-15 07:01:26
96.0,2016-08-15 08:53:09
96.0,2016-08-15 10:23:06
96.0,2016-08-15 08:23:10
96.0,2016-08-15 09:53:07
96.0,2016-08-15 10:53:04
96.0,2016-08-15 09:23:08
96.0,2016-08-15 11:23:03
96.0,2016-08-15 11:53:02
96.0,2016-08-15 12:23:01
96.0,2016-08-15 12:53:00
96.0,2016-08-15 14:22:56
96.0,2016-08-15 13:52:57
96.0,2016-08-15 13:22:58
96.0,2016-08-15 14:52:55
96.0,2016-08-15 15:22:54
96.0,2016-08-15 15:52:53
95.0,2016-08-15 16:22:53
96.0,2016-08-15 18:22:51
96.0,2016-08-15 20:52:47
95.0,2016-08-15 17:22:52
96.0,2016-08-15 19:22:49
96.0,2016-08-15 19:52:48
96.0,2016-08-15 20:22:48
95.0,2016-08-15 16:52:53
95.0,2016-08-15 17:52:51
96.0,2016-08-15 18:52:50
98.0,2016-08-15 21:22:46
98.0,2016-08-15 21:52:45
98.0,2016-08-15 22:22:44
98.0,2016-08-15 23:22:41
98.0,2016-08-15 23:52:40
98.0,2016-08-16 02:22:36
98.0,2016-08-16 02:52:35
98.0,2016-08-15 22:52:43
98.0,2016-08-16 01:52:38
98.0,2016-08-16 00:22:39
98.0,2016-08-16 00:52:39
98.0,2016-08-16 01:22:38
98.0,2016-08-16 03:22:34
98.0,2016-08-16 03:52:32
98.0,2016-08-16 04:22:31
96.0,2016-08-16 07:52:23
96.0,2016-08-16 08:22:22
98.0,2016-08-16 05:52:28
98.0,2016-08-16 05:22:29
98.0,2016-08-16 04:52:30
98.0,2016-08-16 06:22:27
96.0,2016-08-16 06:52:25
96.0,2016-08-16 07:22:24
96.0,2016-08-16 08:52:20
96.0,2016-08-16 09:22:19
96.0,2016-08-16 09:52:18
96.0,2016-08-16 12:22:13
96.0,2016-08-16 13:22:10
95.0,2016-08-16 14:22:08
95.0,2016-08-16 15:22:06
96.0,2016-08-16 11:52:14
95.0,2016-08-16 15:52:05
96.0,2016-08-16 13:52:09
96.0,2016-08-16 10:22:17
96.0,2016-08-16 10:52:17
96.0,2016-08-16 11:22:16
96.0,2016-08-16 12:52:12
95.0,2016-08-16 14:52:07
95.0,2016-08-16 16:22:04
95.0,2016-08-16 16:52:02
95.0,2016-08-16 18:21:59
98.0,2016-08-16 21:51:53
96.0,2016-08-16 18:51:58
98.0,2016-08-16 21:21:54
94.0,2016-08-16 17:52:00
96.0,2016-08-16 20:21:56
95.0,2016-08-16 17:22:01
96.0,2016-08-16 19:21:57
96.0,2016-08-16 19:51:57
96.0,2016-08-16 20:51:54
98.0,2016-08-16 22:21:51
98.0,2016-08-16 22:51:50
98.0,2016-08-16 23:21:49
96.0,2016-08-17 07:51:30
98.0,2016-08-16 23:51:48
98.0,2016-08-17 06:51:33
96.0,2016-08-17 07:21:31
98.0,2016-08-17 02:21:44
98.0,2016-08-17 06:21:33
98.0,2016-08-17 01:21:46
98.0,2016-08-17 01:51:45
98.0,2016-08-17 00:21:46
98.0,2016-08-17 00:51:46
98.0,2016-08-17 02:51:42
98.0,2016-08-17 03:51:40
98.0,2016-08-17 04:21:38
98.0,2016-08-17 04:51:37
98.0,2016-08-17 05:21:36
98.0,2016-08-17 05:51:35
96.0,2016-08-17 08:21:29
96.0,2016-08-17 08:51:28
96.0,2016-08-17 09:21:27
96.0,2016-08-17 09:51:26
96.0,2016-08-17 14:21:15
95.0,2016-08-17 18:21:07
96.0,2016-08-17 11:51:21
96.0,2016-08-17 12:21:19
96.0,2016-08-17 12:51:18
96.0,2016-08-17 13:21:17
95.0,2016-08-17 14:51:14
95.0,2016-08-17 15:21:13
95.0,2016-08-17 15:51:12
96.0,2016-08-17 10:21:24
96.0,2016-08-17 10:51:23
96.0,2016-08-17 11:21:22
96.0,2016-08-17 13:51:16
95.0,2016-08-17 16:21:10
95.0,2016-08-17 16:51:10
95.0,2016-08-17 17:21:10
95.0,2016-08-17 17:51:09
95.0,2016-08-17 18:51:06
96.0,2016-08-17 19:21:05
96.0,2016-08-17 19:51:05
96.0,2016-08-17 21:50:59
98.0,2016-08-17 22:20:57
98.0,2016-08-17 22:50:56
98.0,2016-08-17 23:20:56
98.0,2016-08-17 23:50:55
96.0,2016-08-17 20:21:03
98.0,2016-08-18 02:50:49
96.0,2016-08-17 20:51:01
98.0,2016-08-18 00:20:54
98.0,2016-08-18 00:50:53
98.0,2016-08-18 01:20:52
98.0,2016-08-18 01:50:52
98.0,2016-08-18 03:20:49
98.0,2016-08-18 03:50:47
98.0,2016-08-18 02:20:50
98.0,2016-08-18 04:20:46
98.0,2016-08-18 04:50:45
98.0,2016-08-18 05:20:44
98.0,2016-08-18 05:50:42
98.0,2016-08-18 06:20:41
96.0,2016-08-18 08:50:35
96.0,2016-08-18 10:50:30
98.0,2016-08-18 06:50:40
96.0,2016-08-18 09:20:34
96.0,2016-08-18 11:20:29
96.0,2016-08-18 11:50:28
96.0,2016-08-18 13:20:25
98.0,2016-08-18 07:20:39
96.0,2016-08-18 07:50:38
96.0,2016-08-18 13:50:23
96.0,2016-08-18 14:20:22
96.0,2016-08-18 12:20:27
95.0,2016-08-18 15:50:19
96.0,2016-08-18 09:50:33
96.0,2016-08-18 10:20:32
96.0,2016-08-18 12:50:26
95.0,2016-08-18 14:50:22
95.0,2016-08-18 15:20:21
95.0,2016-08-18 16:20:18
95.0,2016-08-18 16:50:17
95.0,2016-08-18 17:20:16
96.0,2016-08-18 19:50:13
96.0,2016-08-18 21:50:11
95.0,2016-08-18 18:20:15
96.0,2016-08-18 18:50:14
96.0,2016-08-18 20:20:12
96.0,2016-08-18 22:20:10
95.0,2016-08-18 17:50:16
96.0,2016-08-18 21:20:11
98.0,2016-08-18 23:20:08
98.0,2016-08-19 00:20:06
96.0,2016-08-18 19:20:13
96.0,2016-08-18 20:50:11
98.0,2016-08-18 22:50:08
98.0,2016-08-18 23:50:07
98.0,2016-08-19 00:50:05
98.0,2016-08-19 01:20:04
98.0,2016-08-19 01:50:03
98.0,2016-08-19 02:20:02
98.0,2016-08-19 04:19:57
98.0,2016-08-19 06:19:53
96.0,2016-08-19 08:19:48
98.0,2016-08-19 15:52:19
98.0,2016-08-19 02:50:00
98.0,2016-08-19 03:20:00
98.0,2016-08-19 04:49:56
98.0,2016-08-19 06:49:51
98.0,2016-08-19 05:19:55
98.0,2016-08-19 03:49:59
98.0,2016-08-19 05:49:54
98.0,2016-08-19 07:19:50
96.0,2016-08-19 07:49:49
98.0,2016-08-19 15:22:21
98.0,2016-08-19 16:22:18
98.0,2016-08-19 16:52:17
98.0,2016-08-19 17:22:16
98.0,2016-08-19 19:22:11
96.0,2016-08-19 21:22:06
96.0,2016-08-19 22:22:04
98.0,2016-08-19 17:52:15
98.0,2016-08-19 18:22:14
96.0,2016-08-19 20:22:09
96.0,2016-08-19 20:52:07
96.0,2016-08-19 21:52:05
96.0,2016-08-19 22:52:03
98.0,2016-08-19 18:52:13
98.0,2016-08-19 19:52:10
96.0,2016-08-19 23:22:02
96.0,2016-08-20 00:51:58
96.0,2016-08-19 23:52:00
96.0,2016-08-20 00:21:59
96.0,2016-08-20 01:21:56
96.0,2016-08-20 01:51:56
96.0,2016-08-20 02:21:55
95.0,2016-08-20 06:21:46
95.0,2016-08-20 05:51:47
95.0,2016-08-20 06:51:45
95.0,2016-08-20 02:51:54
95.0,2016-08-20 03:21:53
95.0,2016-08-20 03:51:52
95.0,2016-08-20 04:21:51
95.0,2016-08-20 04:51:49
95.0,2016-08-20 05:21:48
96.0,2016-08-20 08:21:41
96.0,2016-08-20 08:51:40
96.0,2016-08-20 09:21:39
96.0,2016-08-20 07:51:42
98.0,2016-08-20 09:51:37
98.0,2016-08-20 10:21:36
98.0,2016-08-20 10:51:36
98.0,2016-08-20 11:21:36
98.0,2016-08-20 13:21:31
98.0,2016-08-20 14:21:28
98.0,2016-08-20 16:21:23
98.0,2016-08-20 11:51:35
98.0,2016-08-20 13:51:30
98.0,2016-08-20 12:21:34
98.0,2016-08-20 12:51:33
98.0,2016-08-20 15:51:25
98.0,2016-08-20 14:51:28
98.0,2016-08-20 15:21:26
98.0,2016-08-20 18:21:19
96.0,2016-08-20 20:51:14
98.0,2016-08-20 18:51:17
96.0,2016-08-20 19:51:16
98.0,2016-08-20 16:51:22
98.0,2016-08-20 17:21:21
98.0,2016-08-20 17:51:20
96.0,2016-08-20 19:21:17
96.0,2016-08-20 20:21:15
96.0,2016-08-20 21:21:13
96.0,2016-08-20 21:51:12
96.0,2016-08-20 22:21:12
96.0,2016-08-21 01:21:04
96.0,2016-08-20 23:21:09
96.0,2016-08-20 23:51:08
96.0,2016-08-21 00:51:05
96.0,2016-08-20 22:51:10
96.0,2016-08-21 02:21:02
96.0,2016-08-21 00:21:06
96.0,2016-08-21 01:51:03
95.0,2016-08-21 02:51:01
95.0,2016-08-21 03:50:59
95.0,2016-08-21 05:50:54
95.0,2016-08-21 03:20:59
96.0,2016-08-21 07:20:51
96.0,2016-08-21 07:50:50
95.0,2016-08-21 04:20:57
95.0,2016-08-21 04:50:56
95.0,2016-08-21 05:20:55
95.0,2016-08-21 06:20:53
95.0,2016-08-21 06:50:52
96.0,2016-08-21 08:20:49
96.0,2016-08-21 08:50:49
96.0,2016-08-21 09:20:48
96.0,2016-08-21 09:50:47
98.0,2016-08-21 13:20:52
98.0,2016-08-21 13:50:51
98.0,2016-08-21 10:50:45
98.0,2016-08-21 11:50:43
98.0,2016-08-21 14:20:50
98.0,2016-08-21 11:20:43
98.0,2016-08-21 14:50:49
98.0,2016-08-21 10:20:45
98.0,2016-08-21 12:20:42
98.0,2016-08-21 12:50:41
98.0,2016-08-21 15:50:47
98.0,2016-08-21 15:20:48
96.0,2016-08-21 18:20:40
98.0,2016-08-21 16:50:44
96.0,2016-08-21 18:50:40
96.0,2016-08-21 19:20:38
98.0,2016-08-21 16:20:45
98.0,2016-08-21 17:20:43
98.0,2016-08-21 17:50:42
96.0,2016-08-21 19:50:37
96.0,2016-08-21 20:20:36
96.0,2016-08-21 20:50:35
96.0,2016-08-21 21:20:34
96.0,2016-08-21 23:20:29
96.0,2016-08-22 01:50:23
96.0,2016-08-22 02:20:21
96.0,2016-08-22 00:20:26
96.0,2016-08-21 22:50:30
96.0,2016-08-21 22:20:31
96.0,2016-08-21 23:50:27
96.0,2016-08-21 21:50:32
96.0,2016-08-22 00:50:25
94.0,2016-08-22 06:20:14
96.0,2016-08-22 08:20:09
96.0,2016-08-22 08:50:09
96.0,2016-08-22 01:20:24
95.0,2016-08-22 04:50:16
95.0,2016-08-22 02:50:21
95.0,2016-08-22 03:20:19
95.0,2016-08-22 03:50:18
95.0,2016-08-22 04:20:17
96.0,2016-08-22 07:20:12
94.0,2016-08-22 05:20:16
96.0,2016-08-22 07:50:11
94.0,2016-08-22 05:50:14
96.0,2016-08-22 09:20:09
98.0,2016-08-22 09:50:07
98.0,2016-08-22 10:20:06
98.0,2016-08-22 14:16:19
98.0,2016-08-22 17:16:14
98.0,2016-08-22 17:46:13
98.0,2016-08-22 11:16:26
98.0,2016-08-22 13:16:22
98.0,2016-08-22 15:16:18
98.0,2016-08-22 10:46:27
98.0,2016-08-22 13:46:21
98.0,2016-08-22 11:46:25
98.0,2016-08-22 12:16:24
98.0,2016-08-22 12:46:23
98.0,2016-08-22 14:46:20
98.0,2016-08-22 16:16:17
98.0,2016-08-22 15:46:17
98.0,2016-08-22 16:46:15
98.0,2016-08-22 18:16:12
98.0,2016-08-22 18:46:12
96.0,2016-08-22 19:16:10
96.0,2016-08-22 19:46:09
96.0,2016-08-22 20:16:07
96.0,2016-08-22 22:46:02
96.0,2016-08-22 21:46:04
96.0,2016-08-22 22:16:03
96.0,2016-08-22 23:16:00
96.0,2016-08-22 20:46:07
96.0,2016-08-22 21:16:05
96.0,2016-08-22 23:45:59
96.0,2016-08-23 00:15:58
95.0,2016-08-23 02:45:55
95.0,2016-08-23 03:15:53
95.0,2016-08-23 03:45:52
95.0,2016-08-23 04:15:50
95.0,2016-08-23 05:15:49
96.0,2016-08-23 01:15:56
96.0,2016-08-23 00:45:57
95.0,2016-08-23 04:45:50
96.0,2016-08-23 01:45:56
96.0,2016-08-23 02:15:55
95.0,2016-08-23 06:45:46
96.0,2016-08-23 07:45:44
96.0,2016-08-23 08:15:43
96.0,2016-08-23 09:15:42
95.0,2016-08-23 06:15:47
96.0,2016-08-23 08:45:42
98.0,2016-08-23 10:15:41
95.0,2016-08-23 05:45:48
96.0,2016-08-23 07:15:45
96.0,2016-08-23 09:45:41
98.0,2016-08-23 12:15:38
98.0,2016-08-23 12:45:37
98.0,2016-08-23 13:45:35
98.0,2016-08-23 14:15:34
98.0,2016-08-23 10:45:40
98.0,2016-08-23 11:15:39
98.0,2016-08-23 11:45:38
98.0,2016-08-23 13:15:36
98.0,2016-08-23 14:45:33
98.0,2016-08-23 15:45:31
98.0,2016-08-23 15:15:32
98.0,2016-08-23 16:45:28
98.0,2016-08-23 16:15:29
98.0,2016-08-23 17:15:27
98.0,2016-08-23 17:45:26
96.0,2016-08-23 21:45:15
96.0,2016-08-23 22:45:13
96.0,2016-08-23 23:45:11
96.0,2016-08-24 00:15:09
96.0,2016-08-23 20:15:20
98.0,2016-08-23 18:15:25
96.0,2016-08-23 18:45:23
96.0,2016-08-23 19:15:22
96.0,2016-08-23 19:45:22
96.0,2016-08-23 20:45:19
96.0,2016-08-23 21:15:16
96.0,2016-08-24 00:45:08
96.0,2016-08-24 01:15:07
95.0,2016-08-24 03:15:03
95.0,2016-08-24 03:45:01
96.0,2016-08-23 22:15:14
96.0,2016-08-23 23:15:12
95.0,2016-08-24 02:45:03
96.0,2016-08-24 01:45:06
95.0,2016-08-24 02:15:05
95.0,2016-08-24 04:45:00
95.0,2016-08-24 04:15:01
95.0,2016-08-24 05:44:58
95.0,2016-08-24 05:14:59
94.0,2016-08-24 06:44:56
96.0,2016-08-24 07:44:54
94.0,2016-08-24 06:14:58
95.0,2016-08-24 07:14:55
96.0,2016-08-24 08:14:53
96.0,2016-08-24 08:44:52
96.0,2016-08-24 09:14:50
96.0,2016-08-24 09:44:49
96.0,2016-08-24 10:14:49
98.0,2016-08-24 11:14:47
98.0,2016-08-24 15:14:40
98.0,2016-08-24 12:44:44
98.0,2016-08-24 13:44:43
98.0,2016-08-24 10:44:49
98.0,2016-08-24 11:44:46
98.0,2016-08-24 12:14:45
98.0,2016-08-24 13:14:43
98.0,2016-08-24 14:44:42
98.0,2016-08-24 18:14:34
98.0,2016-08-24 14:14:43
98.0,2016-08-24 15:44:40
96.0,2016-08-24 19:44:29
96.0,2016-08-25 00:14:20
98.0,2016-08-24 16:14:38
98.0,2016-08-24 16:44:37
98.0,2016-08-24 18:44:32
98.0,2016-08-24 17:14:36
98.0,2016-08-24 17:44:34
96.0,2016-08-24 20:14:29
96.0,2016-08-24 20:44:27
98.0,2016-08-24 19:14:31
96.0,2016-08-24 22:44:23
96.0,2016-08-24 23:14:22
96.0,2016-08-24 21:14:26
96.0,2016-08-25 00:44:19
96.0,2016-08-25 01:14:18
96.0,2016-08-24 21:44:25
96.0,2016-08-24 22:14:24
96.0,2016-08-24 23:44:21
96.0,2016-08-25 01:44:17
95.0,2016-08-25 02:14:16
95.0,2016-08-25 03:14:13
95.0,2016-08-25 03:44:12
95.0,2016-08-25 02:44:14
95.0,2016-08-25 04:14:11
95.0,2016-08-25 04:44:11
96.0,2016-08-25 06:44:06
96.0,2016-08-25 07:44:03
96.0,2016-08-25 08:14:02
96.0,2016-08-25 08:44:02
95.0,2016-08-25 05:14:09
95.0,2016-08-25 05:44:08
98.0,2016-08-25 11:13:57
98.0,2016-08-25 11:43:57
96.0,2016-08-25 07:14:05
95.0,2016-08-25 06:14:07
96.0,2016-08-25 09:14:01
98.0,2016-08-25 09:44:01
98.0,2016-08-25 12:13:56
98.0,2016-08-25 13:43:52
98.0,2016-08-25 10:14:00
98.0,2016-08-25 10:43:59
98.0,2016-08-25 12:43:55
98.0,2016-08-25 14:13:52
98.0,2016-08-25 14:43:51
98.0,2016-08-25 17:43:44
98.0,2016-08-25 18:13:43
98.0,2016-08-25 13:13:54
98.0,2016-08-25 15:13:50
96.0,2016-08-25 21:13:37
96.0,2016-08-25 22:13:34
98.0,2016-08-25 18:43:42
98.0,2016-08-25 19:13:41
98.0,2016-08-25 15:43:49
98.0,2016-08-25 16:43:47
98.0,2016-08-25 17:13:46
98.0,2016-08-25 16:13:48
96.0,2016-08-25 19:43:40
96.0,2016-08-25 20:13:39
96.0,2016-08-25 21:43:36
96.0,2016-08-25 23:13:32
96.0,2016-08-25 20:43:38
96.0,2016-08-26 00:43:29
96.0,2016-08-25 23:43:31
96.0,2016-08-26 01:13:28
96.0,2016-08-25 22:43:33
96.0,2016-08-26 00:13:30
96.0,2016-08-26 01:43:27
96.0,2016-08-26 02:13:26
96.0,2016-08-26 02:43:24
95.0,2016-08-26 03:13:23
95.0,2016-08-26 03:43:22
95.0,2016-08-26 05:13:19
95.0,2016-08-26 04:13:21
95.0,2016-08-26 04:43:20
95.0,2016-08-26 05:43:18
95.0,2016-08-26 06:13:18
95.0,2016-08-26 06:43:17
96.0,2016-08-26 08:43:12
96.0,2016-08-26 07:43:14
96.0,2016-08-26 07:13:16
96.0,2016-08-26 08:13:14
96.0,2016-08-26 09:13:11
96.0,2016-08-26 09:43:09
98.0,2016-08-26 10:43:08
98.0,2016-08-26 11:13:07
98.0,2016-08-26 10:13:09
98.0,2016-08-26 11:43:06
98.0,2016-08-26 12:13:06
98.0,2016-08-26 12:43:05
98.0,2016-08-26 13:13:05
98.0,2016-08-26 13:43:04
98.0,2016-08-26 14:13:03
98.0,2016-08-26 15:13:03
98.0,2016-08-26 14:43:03
98.0,2016-08-26 16:43:30
98.0,2016-08-26 16:13:31
98.0,2016-08-26 17:13:28
98.0,2016-08-26 17:43:27
96.0,2016-08-26 19:43:23
98.0,2016-08-26 18:43:25
98.0,2016-08-26 18:13:26
96.0,2016-08-26 19:13:24
96.0,2016-08-27 00:43:12
96.0,2016-08-26 20:13:22
96.0,2016-08-26 20:43:20
96.0,2016-08-26 21:13:20
96.0,2016-08-26 22:43:17
96.0,2016-08-26 21:43:18
96.0,2016-08-26 23:13:16
96.0,2016-08-26 23:43:14
96.0,2016-08-27 00:13:14
95.0,2016-08-27 01:43:09
95.0,2016-08-27 02:13:09
95.0,2016-08-27 01:13:11
95.0,2016-08-27 03:13:07
95.0,2016-08-27 02:43:08
95.0,2016-08-27 03:43:06
94.0,2016-08-27 05:13:04
95.0,2016-08-27 04:13:05
95.0,2016-08-27 04:43:05
94.0,2016-08-27 05:43:04
95.0,2016-08-27 06:13:03
95.0,2016-08-27 06:43:01
96.0,2016-08-27 07:13:01
96.0,2016-08-27 08:13:01
96.0,2016-08-27 07:43:01
96.0,2016-08-27 08:42:59
96.0,2016-08-27 09:12:59
96.0,2016-08-27 09:42:58
98.0,2016-08-27 10:12:58
98.0,2016-08-27 10:42:56
98.0,2016-08-27 11:12:55
98.0,2016-08-27 12:12:53
98.0,2016-08-27 11:42:54
98.0,2016-08-27 12:42:52
98.0,2016-08-27 13:42:51
98.0,2016-08-27 13:12:51
98.0,2016-08-27 14:12:50
98.0,2016-08-27 14:42:49
98.0,2016-08-27 15:12:47
98.0,2016-08-27 15:42:46
98.0,2016-08-27 16:42:44
98.0,2016-08-27 16:12:45
98.0,2016-08-27 17:12:42
98.0,2016-08-27 18:12:40
98.0,2016-08-27 17:42:41
96.0,2016-08-27 18:42:39
96.0,2016-08-27 19:12:38
96.0,2016-08-27 19:42:37
96.0,2016-08-27 20:12:36
96.0,2016-08-27 21:12:34
96.0,2016-08-27 22:12:31
96.0,2016-08-27 20:42:35
96.0,2016-08-27 21:42:33
96.0,2016-08-27 22:42:30
96.0,2016-08-27 23:42:28
96.0,2016-08-27 23:12:29
96.0,2016-08-28 00:42:25
96.0,2016-08-28 01:42:23
95.0,2016-08-28 02:12:22
96.0,2016-08-28 00:12:27
95.0,2016-08-28 04:12:21
95.0,2016-08-28 03:12:22
95.0,2016-08-28 03:42:22
95.0,2016-08-28 02:42:22
95.0,2016-08-28 04:42:20
95.0,2016-08-28 05:42:18
95.0,2016-08-28 05:12:19
95.0,2016-08-28 06:12:16
96.0,2016-08-28 06:42:15
96.0,2016-08-28 08:12:12
96.0,2016-08-28 07:12:14
96.0,2016-08-28 08:42:11
96.0,2016-08-28 07:42:13
98.0,2016-08-28 12:12:05
96.0,2016-08-28 09:12:10
98.0,2016-08-28 09:42:09
98.0,2016-08-28 10:12:08
