value,timestamp
5.854,2016-08-15 05:31:29
1.545,2016-08-15 06:01:28
1.095,2016-08-15 06:31:27
0.9990000000000001,2016-08-15 07:01:26
0.936,2016-08-15 09:23:08
0.659,2016-08-15 11:23:03
0.639,2016-08-15 10:23:06
0.604,2016-08-15 10:53:04
2.61,2016-08-15 08:53:09
0.739,2016-08-15 08:23:10
0.663,2016-08-15 09:53:07
0.601,2016-08-15 11:53:02
0.587,2016-08-15 12:23:01
0.575,2016-08-15 12:53:00
0.548,2016-08-15 14:22:56
0.552,2016-08-15 13:52:57
0.567,2016-08-15 13:22:58
0.581,2016-08-15 14:52:55
0.526,2016-08-15 15:22:54
0.528,2016-08-15 15:52:53
0.52,2016-08-15 16:22:53
0.522,2016-08-15 16:52:53
0.514,2016-08-15 17:22:52
0.747,2016-08-15 20:22:48
0.509,2016-08-15 17:52:51
0.524,2016-08-15 18:22:51
0.544,2016-08-15 18:52:50
0.703,2016-08-15 20:52:47
0.565,2016-08-15 19:22:49
0.807,2016-08-15 19:52:48
0.886,2016-08-15 21:22:46
0.56,2016-08-15 21:52:45
1.326,2016-08-15 22:22:44
0.709,2016-08-15 22:52:43
0.8139999999999998,2016-08-15 23:22:41
1.789,2016-08-16 00:22:39
7.54,2016-08-16 01:22:38
0.797,2016-08-16 02:22:36
0.798,2016-08-15 23:52:40
3.45,2016-08-16 00:52:39
0.715,2016-08-16 01:52:38
1.368,2016-08-16 02:52:35
0.522,2016-08-16 03:22:34
0.536,2016-08-16 03:52:32
0.545,2016-08-16 04:22:31
0.429,2016-08-16 04:52:30
0.395,2016-08-16 08:22:22
0.474,2016-08-16 06:22:27
0.393,2016-08-16 08:52:20
0.414,2016-08-16 07:22:24
0.445,2016-08-16 05:52:28
0.39,2016-08-16 05:22:29
0.467,2016-08-16 06:52:25
0.401,2016-08-16 07:52:23
0.431,2016-08-16 09:22:19
0.395,2016-08-16 09:52:18
0.395,2016-08-16 10:22:17
0.384,2016-08-16 10:52:17
0.56,2016-08-16 12:22:13
1.523,2016-08-16 13:52:09
0.447,2016-08-16 11:22:16
3.475,2016-08-16 11:52:14
0.43,2016-08-16 13:22:10
0.462,2016-08-16 14:22:08
0.485,2016-08-16 14:52:07
0.407,2016-08-16 12:52:12
0.38,2016-08-16 15:22:06
0.331,2016-08-16 15:52:05
0.344,2016-08-16 16:22:04
0.342,2016-08-16 16:52:02
0.391,2016-08-16 19:51:57
0.448,2016-08-16 19:21:57
0.34,2016-08-16 18:21:59
0.358,2016-08-16 18:51:58
0.558,2016-08-16 20:51:54
0.342,2016-08-16 17:52:00
0.43700000000000006,2016-08-16 20:21:56
0.342,2016-08-16 17:22:01
0.474,2016-08-16 21:21:54
0.472,2016-08-16 21:51:53
0.479,2016-08-16 22:21:51
0.521,2016-08-16 22:51:50
0.601,2016-08-16 23:21:49
0.611,2016-08-17 01:21:46
0.595,2016-08-17 01:51:45
0.351,2016-08-17 06:51:33
0.349,2016-08-17 07:21:31
0.779,2016-08-17 00:21:46
0.778,2016-08-17 00:51:46
0.37,2016-08-17 07:51:30
0.595,2016-08-16 23:51:48
0.903,2016-08-17 05:51:35
0.715,2016-08-17 03:51:40
0.488,2016-08-17 02:21:44
0.568,2016-08-17 02:51:42
0.735,2016-08-17 04:21:38
1.136,2016-08-17 04:51:37
0.403,2016-08-17 06:21:33
0.881,2016-08-17 05:21:36
0.404,2016-08-17 08:21:29
0.483,2016-08-17 08:51:28
0.463,2016-08-17 09:21:27
0.367,2016-08-17 09:51:26
1.153,2016-08-17 10:21:24
0.364,2016-08-17 14:51:14
0.849,2016-08-17 12:51:18
0.351,2016-08-17 13:21:17
0.307,2016-08-17 13:51:16
0.312,2016-08-17 14:21:15
0.624,2016-08-17 11:21:22
0.332,2016-08-17 11:51:21
0.37,2016-08-17 12:21:19
0.522,2016-08-17 10:51:23
1.075,2016-08-17 15:21:13
0.37,2016-08-17 15:51:12
0.324,2016-08-17 16:21:10
0.297,2016-08-17 16:51:10
0.569,2016-08-17 17:21:10
0.333,2016-08-17 17:51:09
0.586,2016-08-17 18:21:07
0.554,2016-08-17 18:51:06
0.409,2016-08-17 19:21:05
0.352,2016-08-17 19:51:05
0.8279999999999998,2016-08-18 00:20:54
0.604,2016-08-18 00:50:53
0.867,2016-08-18 04:20:46
0.466,2016-08-18 04:50:45
0.448,2016-08-18 05:20:44
0.428,2016-08-17 20:51:01
0.376,2016-08-17 20:21:03
2.283,2016-08-17 23:50:55
1.05,2016-08-18 02:20:50
0.444,2016-08-17 21:50:59
0.625,2016-08-17 22:20:57
1.886,2016-08-17 22:50:56
1.011,2016-08-17 23:20:56
1.197,2016-08-18 01:20:52
1.005,2016-08-18 01:50:52
1.045,2016-08-18 02:50:49
0.54,2016-08-18 03:20:49
2.7060000000000004,2016-08-18 03:50:47
1.783,2016-08-18 05:50:42
0.537,2016-08-18 06:20:41
0.534,2016-08-18 07:20:39
1.55,2016-08-18 09:50:33
1.099,2016-08-18 10:20:32
0.369,2016-08-18 13:20:25
1.414,2016-08-18 08:50:35
0.548,2016-08-18 10:50:30
0.504,2016-08-18 12:20:27
0.661,2016-08-18 12:50:26
0.549,2016-08-18 06:50:40
0.532,2016-08-18 13:50:23
0.542,2016-08-18 07:50:38
0.652,2016-08-18 09:20:34
1.357,2016-08-18 11:50:28
2.545,2016-08-18 11:20:29
0.366,2016-08-18 14:20:22
0.86,2016-08-18 15:20:21
0.476,2016-08-18 15:50:19
0.715,2016-08-18 14:50:22
0.408,2016-08-18 16:20:18
0.274,2016-08-18 16:50:17
0.449,2016-08-18 17:20:16
0.351,2016-08-18 21:20:11
0.599,2016-08-19 00:20:06
0.401,2016-08-18 19:20:13
0.299,2016-08-18 19:50:13
0.725,2016-08-18 22:20:10
0.348,2016-08-18 20:20:12
0.567,2016-08-18 21:50:11
1.803,2016-08-18 18:20:15
0.944,2016-08-18 20:50:11
0.686,2016-08-18 22:50:08
0.419,2016-08-18 17:50:16
1.8430000000000002,2016-08-18 18:50:14
0.445,2016-08-18 23:20:08
0.743,2016-08-18 23:50:07
0.741,2016-08-19 00:50:05
0.911,2016-08-19 01:20:04
0.6,2016-08-19 01:50:03
1.003,2016-08-19 02:20:02
0.467,2016-08-19 03:49:59
