value,timestamp
25.85,2016-08-15 05:31:29
25.53,2016-08-15 06:01:28
25.3,2016-08-15 06:31:27
25.03,2016-08-15 07:01:26
25.43,2016-08-15 08:53:09
24.92,2016-08-15 09:53:07
25.11,2016-08-15 11:23:03
25.2,2016-08-15 08:23:10
25.03,2016-08-15 09:23:08
24.87,2016-08-15 10:23:06
25.02,2016-08-15 10:53:04
24.92,2016-08-15 11:53:02
24.86,2016-08-15 12:23:01
24.81,2016-08-15 12:53:00
24.89,2016-08-15 13:52:57
24.83,2016-08-15 13:22:58
24.96,2016-08-15 14:22:56
25.08,2016-08-15 14:52:55
24.92,2016-08-15 15:22:54
24.87,2016-08-15 15:52:53
24.91,2016-08-15 16:22:53
25.88,2016-08-15 19:22:49
26.49,2016-08-15 19:52:48
24.51,2016-08-15 17:22:52
24.88,2016-08-15 17:52:51
25.15,2016-08-15 18:22:51
24.84,2016-08-15 16:52:53
25.44,2016-08-15 18:52:50
28.88,2016-08-15 20:52:47
27.01,2016-08-15 20:22:48
27.58,2016-08-15 21:22:46
26.74,2016-08-15 21:52:45
27.45,2016-08-15 22:22:44
28.2,2016-08-15 22:52:43
28.82,2016-08-16 01:22:38
26.54,2016-08-16 02:22:36
28.85,2016-08-15 23:52:40
30.12,2016-08-16 00:52:39
26.09,2016-08-16 02:52:35
27.38,2016-08-16 01:52:38
28.5,2016-08-15 23:22:41
29.29,2016-08-16 00:22:39
25.24,2016-08-16 03:22:34
25.77,2016-08-16 03:52:32
25.78,2016-08-16 04:22:31
25.43,2016-08-16 05:22:29
25.79,2016-08-16 05:52:28
25.38,2016-08-16 06:52:25
25.4,2016-08-16 07:22:24
25.55,2016-08-16 04:52:30
25.7,2016-08-16 06:22:27
25.46,2016-08-16 08:52:20
25.44,2016-08-16 09:22:19
25.46,2016-08-16 07:52:23
25.47,2016-08-16 08:22:22
25.37,2016-08-16 09:52:18
25.09,2016-08-16 11:52:14
25.27,2016-08-16 10:52:17
24.62,2016-08-16 12:52:12
24.32,2016-08-16 14:22:08
24.33,2016-08-16 15:52:05
25.31,2016-08-16 10:22:17
24.69,2016-08-16 12:22:13
25.15,2016-08-16 11:22:16
24.75,2016-08-16 13:22:10
24.32,2016-08-16 14:52:07
24.53,2016-08-16 13:52:09
24.59,2016-08-16 15:22:06
24.39,2016-08-16 16:22:04
24.14,2016-08-16 16:52:02
24.54,2016-08-16 17:52:00
28.13,2016-08-16 20:51:54
24.28,2016-08-16 17:22:01
26.21,2016-08-16 20:21:56
25.29,2016-08-16 19:21:57
28.66,2016-08-16 21:51:53
28.47,2016-08-16 21:21:54
24.34,2016-08-16 18:21:59
25.12,2016-08-16 18:51:58
25.85,2016-08-16 19:51:57
29.21,2016-08-16 22:21:51
29.55,2016-08-16 22:51:50
30.16,2016-08-16 23:21:49
31.8,2016-08-17 00:51:46
31.3,2016-08-17 01:51:45
30.68,2016-08-17 02:51:42
30.59,2016-08-17 03:51:40
30.4,2016-08-17 04:21:38
30.32,2016-08-17 04:51:37
26.7,2016-08-17 07:21:31
30.43,2016-08-17 00:21:46
29.12,2016-08-17 05:21:36
28.29,2016-08-17 05:51:35
27.45,2016-08-17 06:21:33
26.98,2016-08-17 06:51:33
30.94,2016-08-16 23:51:48
30.84,2016-08-17 01:21:46
30.65,2016-08-17 02:21:44
26.64,2016-08-17 07:51:30
26.53,2016-08-17 08:21:29
26.35,2016-08-17 08:51:28
26.29,2016-08-17 09:21:27
26.03,2016-08-17 09:51:26
25.78,2016-08-17 11:21:22
25.41,2016-08-17 11:51:21
25.5,2016-08-17 12:21:19
25.15,2016-08-17 12:51:18
25.41,2016-08-17 13:51:16
25.09,2016-08-17 15:21:13
25.19,2016-08-17 15:51:12
26.04,2016-08-17 10:51:23
25.02,2016-08-17 14:21:15
27.02,2016-08-17 10:21:24
25.08,2016-08-17 17:51:09
25.21,2016-08-17 18:21:07
25.03,2016-08-17 13:21:17
25.31,2016-08-17 14:51:14
24.91,2016-08-17 16:21:10
24.99,2016-08-17 16:51:10
25.0,2016-08-17 17:21:10
25.22,2016-08-17 18:51:06
25.82,2016-08-17 19:21:05
26.3,2016-08-17 19:51:05
26.59,2016-08-17 20:21:03
27.08,2016-08-17 20:51:01
29.66,2016-08-18 02:50:49
30.7,2016-08-18 01:50:52
30.13,2016-08-18 02:20:50
29.49,2016-08-18 03:20:49
27.06,2016-08-18 04:50:45
28.42,2016-08-17 21:50:59
28.87,2016-08-17 22:20:57
29.95,2016-08-17 22:50:56
30.45,2016-08-17 23:20:56
30.55,2016-08-17 23:50:55
30.57,2016-08-18 00:20:54
30.12,2016-08-18 00:50:53
30.85,2016-08-18 01:20:52
29.0,2016-08-18 03:50:47
29.06,2016-08-18 04:20:46
27.63,2016-08-18 05:20:44
27.56,2016-08-18 05:50:42
27.45,2016-08-18 06:20:41
26.76,2016-08-18 07:50:38
26.18,2016-08-18 11:50:28
25.97,2016-08-18 12:20:27
25.94,2016-08-18 12:50:26
26.96,2016-08-18 07:20:39
26.01,2016-08-18 10:20:32
26.65,2016-08-18 08:50:35
26.47,2016-08-18 09:20:34
26.05,2016-08-18 10:50:30
25.92,2016-08-18 11:20:29
25.59,2016-08-18 13:20:25
23.64,2016-08-18 14:50:22
27.17,2016-08-18 06:50:40
26.49,2016-08-18 09:50:33
25.6,2016-08-18 13:50:23
24.65,2016-08-18 14:20:22
24.27,2016-08-18 15:20:21
24.54,2016-08-18 15:50:19
