value,timestamp
96950.35,2016-08-15 05:31:29
97042.11,2016-08-15 06:01:28
97050.13,2016-08-15 06:31:27
97104.44,2016-08-15 07:01:26
97205.13,2016-08-15 09:53:07
97178.53000000001,2016-08-15 10:53:04
97167.13,2016-08-15 09:23:08
97178.18,2016-08-15 10:23:06
97145.19,2016-08-15 08:53:09
97159.55,2016-08-15 08:23:10
97174.03000000001,2016-08-15 11:23:03
97146.94,2016-08-15 11:53:02
97168.17,2016-08-15 12:23:01
97108.7,2016-08-15 12:53:00
97035.94,2016-08-15 13:52:57
97032.8,2016-08-15 14:22:56
97053.55,2016-08-15 13:22:58
97032.09,2016-08-15 14:52:55
97054.08,2016-08-15 15:22:54
97086.83,2016-08-15 15:52:53
97101.5,2016-08-15 16:22:53
97202.94,2016-08-15 18:52:50
97254.38,2016-08-15 20:22:48
97246.18,2016-08-15 19:52:48
97102.48,2016-08-15 16:52:53
97110.47,2016-08-15 17:22:52
97181.95,2016-08-15 17:52:51
97254.66,2016-08-15 19:22:49
97180.83,2016-08-15 18:22:51
97234.38,2016-08-15 20:52:47
97226.73,2016-08-15 21:22:46
97206.59,2016-08-15 21:52:45
97228.81,2016-08-15 22:22:44
97108.23,2016-08-16 00:22:39
97120.06,2016-08-16 00:52:39
97038.6,2016-08-16 01:22:38
97006.58,2016-08-16 01:52:38
96927.93,2016-08-16 02:52:35
97196.89000000001,2016-08-15 22:52:43
97168.66,2016-08-15 23:22:41
96950.04,2016-08-16 02:22:36
97169.06,2016-08-15 23:52:40
96886.2,2016-08-16 03:22:34
96870.67,2016-08-16 03:52:32
96874.3,2016-08-16 04:22:31
97024.05,2016-08-16 07:22:24
97148.06,2016-08-16 09:22:19
96965.88,2016-08-16 05:52:28
97067.67,2016-08-16 07:52:23
96952.92,2016-08-16 05:22:29
96932.72,2016-08-16 04:52:30
97003.52,2016-08-16 06:22:27
97008.8,2016-08-16 06:52:25
97085.58,2016-08-16 08:22:22
97104.98,2016-08-16 08:52:20
97156.33,2016-08-16 09:52:18
97085.26,2016-08-16 12:52:12
97044.44,2016-08-16 13:52:09
97190.22,2016-08-16 11:22:16
97013.48,2016-08-16 13:22:10
97012.84,2016-08-16 14:52:07
97215.42,2016-08-16 10:52:17
97010.31,2016-08-16 15:22:06
97194.89000000001,2016-08-16 10:22:17
97153.02,2016-08-16 11:52:14
97124.56,2016-08-16 12:22:13
96999.86,2016-08-16 14:22:08
97005.62,2016-08-16 15:52:05
97004.61,2016-08-16 16:22:04
97019.49,2016-08-16 16:52:02
97221.3,2016-08-16 19:21:57
97230.13,2016-08-16 21:21:54
97067.45,2016-08-16 17:52:00
97116.38,2016-08-16 18:21:59
97243.5,2016-08-16 20:51:54
97244.39000000001,2016-08-16 19:51:57
97031.21,2016-08-16 17:22:01
97184.94,2016-08-16 18:51:58
97199.97,2016-08-16 21:51:53
97272.63,2016-08-16 20:21:56
97189.75,2016-08-16 22:21:51
97121.75,2016-08-16 22:51:50
97091.58,2016-08-16 23:51:48
97067.7,2016-08-17 00:21:46
96812.8,2016-08-17 03:51:40
96817.83,2016-08-17 04:21:38
96817.51,2016-08-17 04:51:37
96848.72,2016-08-17 05:21:36
96899.2,2016-08-17 05:51:35
96897.08,2016-08-17 06:21:33
96985.86,2016-08-17 07:51:30
97107.12,2016-08-16 23:21:49
96936.57,2016-08-17 06:51:33
97001.92,2016-08-17 00:51:46
96864.59,2016-08-17 02:21:44
96842.16,2016-08-17 02:51:42
96940.83,2016-08-17 01:21:46
96902.58,2016-08-17 01:51:45
96982.67,2016-08-17 07:21:31
97045.91,2016-08-17 08:21:29
97159.51,2016-08-17 08:51:28
97200.39000000001,2016-08-17 09:21:27
97190.75,2016-08-17 09:51:26
97177.84,2016-08-17 10:51:23
97064.08,2016-08-17 16:21:10
97079.0,2016-08-17 16:51:10
97102.17,2016-08-17 17:21:10
97101.19,2016-08-17 17:51:09
97027.08,2016-08-17 15:51:12
97084.72,2016-08-17 11:21:22
96998.28000000001,2016-08-17 15:21:13
97065.14000000001,2016-08-17 13:51:16
97200.98,2016-08-17 10:21:24
97069.42,2016-08-17 11:51:21
97068.53000000001,2016-08-17 12:21:19
97066.41,2016-08-17 12:51:18
97064.88,2016-08-17 13:21:17
97027.45,2016-08-17 14:21:15
97027.08,2016-08-17 14:51:14
97140.15,2016-08-17 18:21:07
97156.78000000001,2016-08-17 18:51:06
97118.04,2016-08-17 19:21:05
97136.92,2016-08-17 19:51:05
97123.42,2016-08-17 20:21:03
97179.73,2016-08-17 20:51:01
97177.03000000001,2016-08-17 21:50:59
97184.38,2016-08-17 22:20:57
97180.26,2016-08-17 22:50:56
97161.39000000001,2016-08-17 23:20:56
97107.41,2016-08-17 23:50:55
