value,timestamp
100.0,2016-08-15 06:10:39
99.0,2016-08-15 06:40:38
99.0,2016-08-15 07:10:37
99.0,2016-08-15 07:40:35
98.0,2016-08-15 09:40:30
98.0,2016-08-15 08:40:32
98.0,2016-08-15 10:10:29
98.0,2016-08-15 11:10:26
98.0,2016-08-15 11:40:25
98.0,2016-08-15 09:10:31
98.0,2016-08-15 10:40:27
98.0,2016-08-15 12:10:23
98.0,2016-08-15 12:40:22
98.0,2016-08-15 13:10:22
98.0,2016-08-15 14:10:20
98.0,2016-08-15 14:40:18
98.0,2016-08-15 13:40:21
98.0,2016-08-15 15:10:18
98.0,2016-08-15 15:40:17
98.0,2016-08-15 16:10:16
96.0,2016-08-15 16:40:15
96.0,2016-08-15 17:40:13
98.0,2016-08-15 20:40:07
98.0,2016-08-15 18:40:12
98.0,2016-08-15 19:10:09
98.0,2016-08-15 21:10:07
96.0,2016-08-15 18:10:12
98.0,2016-08-15 20:10:07
96.0,2016-08-15 17:10:14
98.0,2016-08-15 19:40:09
98.0,2016-08-15 21:40:05
99.0,2016-08-15 22:10:05
99.0,2016-08-15 22:40:03
99.0,2016-08-16 00:10:01
99.0,2016-08-15 23:40:02
99.0,2016-08-16 00:40:01
99.0,2016-08-16 01:39:59
99.0,2016-08-15 23:10:03
99.0,2016-08-16 01:10:00
99.0,2016-08-16 02:09:58
99.0,2016-08-16 02:39:57
99.0,2016-08-16 03:09:56
99.0,2016-08-16 03:39:55
99.0,2016-08-16 04:09:53
98.0,2016-08-16 08:39:43
99.0,2016-08-16 04:39:52
99.0,2016-08-16 05:39:49
98.0,2016-08-16 06:39:48
98.0,2016-08-16 09:09:41
98.0,2016-08-16 07:39:45
98.0,2016-08-16 06:09:49
99.0,2016-08-16 05:09:51
98.0,2016-08-16 07:09:46
98.0,2016-08-16 08:09:44
98.0,2016-08-16 09:39:41
98.0,2016-08-16 10:09:39
98.0,2016-08-16 11:09:36
96.0,2016-08-16 15:39:26
98.0,2016-08-16 12:39:33
98.0,2016-08-16 11:39:36
98.0,2016-08-16 13:09:32
96.0,2016-08-16 13:39:31
96.0,2016-08-16 14:39:28
96.0,2016-08-16 15:09:27
98.0,2016-08-16 10:39:38
96.0,2016-08-16 16:09:24
96.0,2016-08-16 16:39:24
96.0,2016-08-16 17:09:22
98.0,2016-08-16 19:09:19
98.0,2016-08-16 20:09:18
98.0,2016-08-16 19:39:18
99.0,2016-08-16 22:09:13
96.0,2016-08-16 18:39:20
98.0,2016-08-16 21:09:15
96.0,2016-08-16 18:09:20
98.0,2016-08-16 20:39:17
96.0,2016-08-16 17:39:21
98.0,2016-08-16 21:39:15
99.0,2016-08-16 22:39:12
99.0,2016-08-16 23:09:11
99.0,2016-08-17 01:09:09
100.0,2016-08-17 01:39:09
100.0,2016-08-17 02:39:07
100.0,2016-08-17 03:09:05
99.0,2016-08-17 00:39:09
100.0,2016-08-17 05:09:01
99.0,2016-08-16 23:39:10
99.0,2016-08-17 00:09:10
100.0,2016-08-17 04:09:04
100.0,2016-08-17 04:39:02
99.0,2016-08-17 05:39:00
98.0,2016-08-17 07:38:56
98.0,2016-08-17 08:08:55
100.0,2016-08-17 02:09:07
100.0,2016-08-17 03:39:05
99.0,2016-08-17 06:08:59
99.0,2016-08-17 06:38:57
99.0,2016-08-17 07:08:57
98.0,2016-08-17 08:38:54
98.0,2016-08-17 09:08:53
98.0,2016-08-17 09:38:51
98.0,2016-08-17 10:08:50
98.0,2016-08-17 10:38:49
98.0,2016-08-17 11:38:47
98.0,2016-08-17 12:08:46
98.0,2016-08-17 14:08:41
98.0,2016-08-17 11:08:48
98.0,2016-08-17 13:38:43
96.0,2016-08-17 16:38:36
96.0,2016-08-17 17:08:35
98.0,2016-08-17 12:38:44
98.0,2016-08-17 13:08:44
96.0,2016-08-17 14:38:40
96.0,2016-08-17 15:38:38
96.0,2016-08-17 16:08:37
96.0,2016-08-17 18:08:33
96.0,2016-08-17 18:38:32
96.0,2016-08-17 15:08:40
96.0,2016-08-17 17:38:34
98.0,2016-08-17 19:08:31
98.0,2016-08-17 19:38:30
98.0,2016-08-17 20:08:29
99.0,2016-08-18 01:08:20
100.0,2016-08-18 01:38:19
100.0,2016-08-18 02:08:17
100.0,2016-08-18 02:38:16
100.0,2016-08-18 03:38:14
98.0,2016-08-17 21:38:25
100.0,2016-08-18 03:08:15
100.0,2016-08-18 04:08:12
99.0,2016-08-17 22:08:24
99.0,2016-08-17 22:38:23
99.0,2016-08-17 23:08:22
99.0,2016-08-17 23:38:22
99.0,2016-08-18 00:08:21
