value,timestamp
26.5,2016-08-15 06:10:39
25.93,2016-08-15 06:40:38
25.79,2016-08-15 07:10:37
25.8,2016-08-15 07:40:35
26.15,2016-08-15 09:40:30
26.37,2016-08-15 10:10:29
25.92,2016-08-15 10:40:27
25.61,2016-08-15 08:40:32
25.85,2016-08-15 09:10:31
25.76,2016-08-15 11:10:26
25.86,2016-08-15 11:40:25
25.48,2016-08-15 12:10:23
25.52,2016-08-15 12:40:22
25.47,2016-08-15 13:10:22
25.45,2016-08-15 14:10:20
25.41,2016-08-15 14:40:18
25.1,2016-08-15 13:40:21
25.7,2016-08-15 15:10:18
25.38,2016-08-15 15:40:17
25.69,2016-08-15 16:10:16
25.74,2016-08-15 16:40:15
28.26,2016-08-15 21:10:07
26.21,2016-08-15 19:10:09
26.4,2016-08-15 19:40:09
25.54,2016-08-15 18:10:12
27.19,2016-08-15 20:10:07
27.38,2016-08-15 20:40:07
25.36,2016-08-15 17:10:14
25.33,2016-08-15 17:40:13
25.84,2016-08-15 18:40:12
28.68,2016-08-15 21:40:05
28.21,2016-08-15 22:10:05
29.38,2016-08-16 00:40:01
28.53,2016-08-16 01:10:00
28.15,2016-08-16 01:39:59
27.1,2016-08-16 02:09:58
24.95,2016-08-16 03:09:56
28.79,2016-08-15 22:40:03
28.28,2016-08-15 23:10:03
30.62,2016-08-15 23:40:02
29.81,2016-08-16 00:10:01
25.46,2016-08-16 02:39:57
25.33,2016-08-16 03:39:55
26.43,2016-08-16 04:09:53
26.28,2016-08-16 06:09:49
26.18,2016-08-16 07:39:45
26.08,2016-08-16 08:09:44
26.3,2016-08-16 05:39:49
26.15,2016-08-16 05:09:51
26.17,2016-08-16 04:39:52
25.97,2016-08-16 06:39:48
26.58,2016-08-16 07:09:46
26.59,2016-08-16 08:39:43
26.29,2016-08-16 09:09:41
26.75,2016-08-16 09:39:41
26.12,2016-08-16 10:09:39
25.19,2016-08-16 13:09:32
25.89,2016-08-16 11:39:36
24.72,2016-08-16 13:39:31
25.28,2016-08-16 15:09:27
25.79,2016-08-16 11:09:36
25.91,2016-08-16 10:39:38
25.02,2016-08-16 12:39:33
24.68,2016-08-16 14:39:28
24.97,2016-08-16 15:39:26
25.22,2016-08-16 16:09:24
24.38,2016-08-16 16:39:24
25.34,2016-08-16 17:09:22
25.4,2016-08-16 18:09:20
27.3,2016-08-16 19:39:18
29.45,2016-08-16 21:39:15
25.39,2016-08-16 18:39:20
29.71,2016-08-16 21:09:15
25.26,2016-08-16 17:39:21
26.67,2016-08-16 20:09:18
25.93,2016-08-16 19:09:19
30.56,2016-08-16 22:09:13
27.49,2016-08-16 20:39:17
31.1,2016-08-16 22:39:12
32.58,2016-08-16 23:09:11
32.01,2016-08-17 00:09:10
33.08,2016-08-17 04:09:04
27.86,2016-08-17 08:08:55
33.64,2016-08-16 23:39:10
28.02,2016-08-17 06:38:57
27.73,2016-08-17 07:08:57
27.8,2016-08-17 07:38:56
28.3,2016-08-17 06:08:59
33.31,2016-08-17 01:39:09
33.53,2016-08-17 02:09:07
31.74,2016-08-17 02:39:07
31.06,2016-08-17 03:09:05
31.8,2016-08-17 00:39:09
33.68,2016-08-17 01:09:09
30.98,2016-08-17 03:39:05
30.55,2016-08-17 04:39:02
28.43,2016-08-17 05:39:00
29.55,2016-08-17 05:09:01
27.26,2016-08-17 08:38:54
27.22,2016-08-17 09:08:53
27.83,2016-08-17 09:38:51
25.91,2016-08-17 17:38:34
26.09,2016-08-17 18:08:33
26.19,2016-08-17 18:38:32
25.88,2016-08-17 12:08:46
25.67,2016-08-17 12:38:44
26.25,2016-08-17 13:08:44
26.24,2016-08-17 14:38:40
26.22,2016-08-17 15:08:40
25.82,2016-08-17 15:38:38
27.6,2016-08-17 10:38:49
27.06,2016-08-17 11:08:48
27.4,2016-08-17 10:08:50
26.93,2016-08-17 11:38:47
25.79,2016-08-17 13:38:43
26.09,2016-08-17 14:08:41
26.17,2016-08-17 16:08:37
25.58,2016-08-17 16:38:36
25.98,2016-08-17 17:08:35
26.7,2016-08-17 19:08:31
27.37,2016-08-17 19:38:30
27.93,2016-08-17 20:08:29
29.91,2016-08-17 22:08:24
30.16,2016-08-17 22:38:23
30.0,2016-08-17 23:08:22
30.1,2016-08-17 23:38:22
31.22,2016-08-18 00:08:21
28.94,2016-08-17 20:38:27
29.7,2016-08-17 21:08:26
31.79,2016-08-18 00:38:21
35.12,2016-08-18 01:08:20
31.16,2016-08-18 01:38:19
32.18,2016-08-18 02:38:16
30.77,2016-08-18 03:08:15
30.95,2016-08-18 03:38:14
30.16,2016-08-17 21:38:25
31.49,2016-08-18 02:08:17
31.11,2016-08-18 04:08:12
27.53,2016-08-18 04:38:11
29.39,2016-08-18 05:08:10
28.71,2016-08-18 05:38:09
28.83,2016-08-18 06:08:08
28.72,2016-08-18 06:38:07
27.27,2016-08-18 10:07:59
27.3,2016-08-18 13:07:53
26.88,2016-08-18 14:07:50
28.03,2016-08-18 08:08:04
27.89,2016-08-18 08:38:02
27.51,2016-08-18 10:37:57
27.91,2016-08-18 12:07:54
27.86,2016-08-18 12:37:53
28.54,2016-08-18 09:38:00
26.73,2016-08-18 13:37:52
28.12,2016-08-18 07:08:06
28.32,2016-08-18 07:38:04
28.22,2016-08-18 09:08:01
28.83,2016-08-18 11:37:55
27.26,2016-08-18 11:07:56
25.45,2016-08-18 16:07:46
24.59,2016-08-18 15:07:48
24.88,2016-08-18 15:37:46
24.93,2016-08-18 14:37:49
24.79,2016-08-18 16:37:44
25.35,2016-08-18 17:07:43
26.8,2016-08-18 21:07:37
31.65,2016-08-19 00:07:30
25.86,2016-08-18 19:37:39
25.2,2016-08-18 20:37:38
29.0,2016-08-18 22:07:35
24.74,2016-08-18 20:07:38
27.93,2016-08-18 21:37:36
25.19,2016-08-18 18:07:42
25.75,2016-08-18 18:37:41
26.1,2016-08-18 19:07:41
24.9,2016-08-18 17:37:43
29.1,2016-08-18 22:37:34
29.78,2016-08-18 23:07:32
30.66,2016-08-18 23:37:30
32.36,2016-08-19 00:37:29
32.1,2016-08-19 01:07:28
32.42,2016-08-19 01:37:27
30.7,2016-08-19 02:07:26
31.07,2016-08-19 03:07:24
31.02,2016-08-19 03:37:23
29.42,2016-08-19 06:37:15
